ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
1.34626931,0.10663098,0.83097733,0.99834397,-1.01170487,-0.45516747,0.96018603,0.31660216,-0.45174174
1.29926801,0.24384984,0.79723611,1.01048755,-0.93529951,-0.35587971,0.92791892,0.26805126,-0.47292881
1.21202090,0.37197531,0.77895534,1.02421914,-0.83406982,-0.21883162,0.88790729,0.20087241,-0.49778708
1.08518570,0.44849320,0.76490088,1.02786587,-0.72168202,-0.08227840,0.85276466,0.13063158,-0.51739165
0.87131217,0.51082627,0.76219608,1.01735707,-0.60962962,0.03650097,0.82268204,0.05859208,-0.53168747
0.59528647,0.52048909,0.79598961,1.00250349,-0.53256173,0.12978330,0.79666131,-0.01406822,-0.54119847
0.36062498,0.44233073,0.84760071,0.99732016,-0.49650050,0.20409489,0.77282776,-0.08711076,-0.54678252
0.15249049,0.31441209,0.89557585,1.00477672,-0.45885640,0.26331245,0.75013201,-0.16102892,-0.54884546
0.02905460,0.21025901,0.91116418,1.01985135,-0.37896416,0.30044874,0.72959913,-0.23622866,-0.54692106
0.11866398,0.19439102,0.88001805,1.03780384,-0.27578580,0.30741689,0.71287374,-0.31268355,-0.54034328
0.33734242,0.28269119,0.84194478,1.05784811,-0.20369839,0.30207685,0.69983841,-0.39019705,-0.52910946
0.56538956,0.43734817,0.82794301,1.08228216,-0.18967444,0.31344258,0.68834307,-0.46893180,-0.51381459
0.72643649,0.55974077,0.81921279,1.11171667,-0.21576169,0.34068120,0.67621609,-0.54927887,-0.49491424
0.69930765,0.60068904,0.82356409,1.15072747,-0.27375311,0.38131769,0.66163333,-0.63175670,-0.47255406
0.46775925,0.61853665,0.85433784,1.20253453,-0.31594283,0.44376261,0.64356567,-0.71720365,-0.44633618
0.14381381,0.57983431,0.80248623,1.25043257,-0.25325629,0.51203179,0.62490752,-0.80599517,-0.41460797
-0.14755880,0.34056342,0.64673087,1.07646178,-0.61955072,0.51318580,0.60111244,-0.89166712,-0.38161961
0.02400170,-0.53734770,0.55356350,0.57648770,-1.26882966,0.36637781,0.55524178,-0.95355905,-0.36370144
0.34568191,-1.82293855,-0.04955573,0.13266511,-0.95389635,0.15174047,0.50167923,-0.97942986,-0.36496514
-0.00784678,-2.27568910,-0.87900739,-0.06243318,-0.09338598,0.01197593,0.47827421,-0.98253655,-0.36960786
-0.31282644,-1.80505409,-0.50057808,-0.17676970,0.25309904,-0.05730780,0.48346445,-0.97571321,-0.37202424
-0.01119022,-1.28007485,0.31803510,-0.30124037,0.12880073,-0.11499399,0.49284009,-0.96049353,-0.37785517
0.33102997,-1.04423313,0.45732185,-0.44012896,-0.10528541,-0.16219021,0.49457040,-0.93602764,-0.39030473
0.35997119,-0.90674044,0.22664793,-0.58834083,-0.06210540,-0.19137740,0.49244935,-0.90152125,-0.40840938
0.22824384,-0.65686800,-0.10711958,-0.76061899,0.13508201,-0.22348989,0.49624267,-0.85600114,-0.42949611
0.26522363,-0.39004816,-0.14895777,-0.96505304,0.21841815,-0.24643189,0.50608192,-0.79712442,-0.45365460
0.27358959,-0.26195953,0.01092291,-1.19114760,0.33567558,-0.22495642,0.51999996,-0.72274338,-0.48088573
0.13137024,-0.32003273,-0.01164268,-1.39221541,0.32405461,-0.15836668,0.53629884,-0.63304370,-0.50975443
0.11310824,-0.44923762,0.09932517,-1.51330744,-0.05510496,-0.05468826,0.54312694,-0.53185793,-0.54030154
0.23099328,-0.59119535,0.31693356,-1.54278844,-0.48084006,0.08278462,0.52999983,-0.42548079,-0.57207771
0.31471953,-0.76329464,0.27445631,-1.49580821,-0.59674620,0.21381140,0.50341223,-0.31988913,-0.60124746
0.28797787,-0.90336570,0.12069768,-1.38055379,-0.37239827,0.30276690,0.47889439,-0.22005407,-0.62329150
0.08292315,-0.94499394,0.03388960,-1.20468899,0.08235059,0.36032375,0.46970906,-0.13069800,-0.63574195
-0.26813840,-0.91817102,-0.00350792,-0.99117180,0.61898543,0.38835389,0.48327009,-0.05555044,-0.63819385
-0.54828189,-0.91505922,-0.00639111,-0.74518555,1.13110526,0.38050440,0.52068492,0.00289321,-0.63140472
-0.69558748,-0.94502074,-0.01797545,-0.45748278,1.55004768,0.34050324,0.57904969,0.04203389,-0.61629989
-0.85554737,-0.95256241,-0.02683428,-0.13712251,1.79549789,0.27132689,0.65209775,0.05940060,-0.59418392
-1.04175197,-0.90128559,0.03032412,0.17042490,1.77432131,0.17844910,0.72998244,0.05463416,-0.56757975
-1.05107656,-0.77436346,0.19190544,0.34555429,1.27282617,0.02203215,0.79673487,0.03336104,-0.54238047
-0.65384786,-0.76047594,0.47706747,0.27548006,0.19103789,-0.29107966,0.82860786,0.01102456,-0.52946468
-0.05145269,-1.14092159,0.70959752,0.05768227,-1.05115442,-0.70238499,0.80853523,0.00414700,-0.53732125
0.05263906,-1.59760459,0.70816283,-0.09315605,-1.91977400,-1.01341366,0.74174029,0.01464768,-0.56273366
-0.38281429,-1.72476454,0.58523752,-0.13102511,-2.38190811,-1.19103391,0.64570223,0.03286562,-0.59542808
-0.57471774,-1.76013150,0.46822681,-0.13800678,-2.62719564,-1.32844129,0.53320062,0.05190225,-0.62756391
-0.32017594,-1.80799255,0.33913222,-0.15681197,-2.67916941,-1.41892427,0.41266362,0.07041974,-0.65483678
-0.02531679,-1.60126572,0.21013136,-0.20790272,-2.58399421,-1.36891738,0.29231557,0.08908972,-0.67480634
0.09539318,-1.13319904,0.13924803,-0.32438047,-2.47104739,-1.13834198,0.17584452,0.11090706,-0.68698238
0.07229000,-0.70687029,0.01960772,-0.52196810,-2.21852005,-0.79697886,0.06712205,0.14174628,-0.69183735
0.00398515,-0.53785935,-0.31423645,-0.77481018,-1.65347032,-0.45661087,-0.02307251,0.18757950,-0.69007990
-0.04020398,-0.55464597,-0.66021245,-0.97363401,-1.10872881,-0.23329656,-0.07764329,0.23083533,-0.68583680
