ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
1.26062972,0.48914586,-0.07922575,0.18183762,1.03048807,2.10589026,-1.29678627,2.36744414,3.51844765
1.09481611,0.43343330,-0.05003784,0.14839011,1.01218109,2.20415267,-1.24726402,2.39961712,3.48654716
0.91260580,0.37699556,-0.05140205,0.10435771,1.01004234,2.33640016,-1.17684448,2.44214914,3.44747033
0.77509922,0.32197972,-0.09255904,0.05890132,1.04805373,2.46752402,-1.09997813,2.48386111,3.41315079
0.63567342,0.25183114,-0.13749514,0.01011259,1.11923384,2.58500114,-1.01708473,2.52418035,3.38325639
0.49100064,0.16987013,-0.16096754,-0.04031633,1.21192233,2.66658749,-0.92919814,2.56228140,3.35789194
0.37594640,0.08870968,-0.16293702,-0.08985566,1.30944583,2.70238574,-0.83800886,2.59723238,3.33731229
0.29141541,0.00274670,-0.15715938,-0.13885454,1.37426348,2.70617853,-0.74504608,2.62833456,3.32219858
0.19989073,-0.10728915,-0.15311943,-0.18802668,1.38720127,2.69412310,-0.65116145,2.65523755,3.31371860
0.06282230,-0.23574959,-0.15725530,-0.23551876,1.35846403,2.67281258,-0.55684425,2.67780648,3.31274441
-0.12148170,-0.35968637,-0.16438915,-0.27772478,1.29396410,2.64334597,-0.46250411,2.69602103,3.31940922
-0.33351835,-0.44699924,-0.16011051,-0.31047991,1.19753783,2.61486402,-0.36839881,2.70995168,3.33316599
-0.58736029,-0.44688116,-0.15248074,-0.33246113,1.08878207,2.61809593,-0.27403505,2.71978344,3.35289222
-0.91552841,-0.33107391,-0.17006034,-0.34519714,0.99356688,2.68575645,-0.17765754,2.72571828,3.37721766
-1.30584870,-0.15484789,-0.21723367,-0.35002901,0.92618702,2.81510210,-0.07693942,2.72771825,3.40489460
-1.72250192,-0.01362373,-0.27887634,-0.33251255,0.91421629,2.95471283,0.02920041,2.72548108,3.43430767
-2.12499132,0.03890083,-0.38297010,-0.27984487,0.94919092,3.04304463,0.13932521,2.71881565,3.46263288
-2.49187125,0.02896920,-0.46970661,-0.20952138,0.96279185,3.07289299,0.25083209,2.70779515,3.48725760
-2.84808861,0.01896473,-0.46766157,-0.13128174,0.93160669,3.06816854,0.36204070,2.69261343,3.50696074
-3.16792508,-0.02300853,-0.47508825,-0.04254904,0.85904802,3.00477560,0.47152439,2.67375843,3.52050704
-3.38093996,-0.15308264,-0.49966219,0.04779702,0.74269041,2.82309038,0.57620858,2.65233824,3.52660350
-3.47661478,-0.32270405,-0.47736544,0.13772837,0.60781250,2.49247757,0.67123032,2.63028844,3.52448905
-3.49980520,-0.47730660,-0.42492855,0.23709338,0.48677774,2.03777405,0.75153501,2.61022980,3.51322770
-3.51725365,-0.61045818,-0.35733640,0.35334674,0.39670974,1.52040596,0.81369713,2.59475394,3.49145363
-3.56249060,-0.71268188,-0.28776750,0.48455214,0.33120440,1.00004402,0.85661196,2.58564463,3.45777525
-3.61485259,-0.75354055,-0.22692192,0.62139842,0.27834490,0.52188607,0.88114937,2.58349014,3.41124504
