ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.00034078,-0.12196802,-0.39298860,0.61618790,-1.13943973,0.23669752,1.45803974,0.12848997,-0.14232768
-0.00314675,-0.06228449,-0.36268098,0.55693741,-1.26468593,0.20978375,1.42140436,0.09807704,-0.17295294
-0.05170362,-0.01669868,-0.31146588,0.48794904,-1.40269437,0.18332871,1.36822377,0.06067676,-0.21518412
-0.15704708,0.01522655,-0.25843971,0.43928755,-1.49144328,0.18232362,1.30975846,0.02701007,-0.25838682
-0.35717240,0.10847243,-0.23060111,0.42039694,-1.51996767,0.21866704,1.24806063,-0.00507413,-0.30076896
-0.42810025,0.25626772,-0.22604127,0.43453989,-1.47887533,0.26779276,1.18569201,-0.03807868,-0.34039903
-0.11416259,0.25854295,-0.18514149,0.47241835,-1.41990082,0.28145723,1.12466160,-0.07362199,-0.37592721
0.27087053,0.04646427,-0.06142999,0.51117596,-1.39852322,0.25641571,1.06455236,-0.11185926,-0.40765010
0.39736169,-0.06520955,0.06126717,0.51858612,-1.36807025,0.23304570,1.00473196,-0.15150010,-0.43613516
0.31225336,0.10432309,0.07963187,0.47560975,-1.27600191,0.22839402,0.94691585,-0.18986343,-0.46095702
0.10103616,0.34760934,0.05042288,0.40295267,-1.12051380,0.22182703,0.89389520,-0.22414211,-0.48155443
-0.05487847,0.48629617,0.05616310,0.35006255,-0.91344782,0.19391390,0.84836601,-0.25376684,-0.49749669
0.00036823,0.50621468,0.09733935,0.34731594,-0.70659709,0.14990131,0.81177180,-0.28105614,-0.50855112
0.13109480,0.44505565,0.17473529,0.38416463,-0.55121114,0.11540008,0.78310905,-0.30919123,-0.51516887
0.18828915,0.43164544,0.28001996,0.42967951,-0.47932295,0.12444023,0.75933151,-0.34010636,-0.51849017
0.20025438,0.61766910,0.37731121,0.45665664,-0.48264162,0.17011082,0.73668839,-0.37385370,-0.51998298
0.15120741,0.80594789,0.43388941,0.46366142,-0.59009553,0.16500699,0.71199914,-0.40894022,-0.52105397
-0.22763970,0.77634144,0.55964995,0.48631025,-0.92296164,0.11840677,0.67836615,-0.44450386,-0.52401739
-0.77065959,0.95913104,0.81292943,0.56287944,-1.34286873,0.17726858,0.62723371,-0.48330704,-0.53027369
-0.79010077,1.37505670,0.90650661,0.69806803,-1.54224268,0.35165590,0.56088620,-0.53055331,-0.53629467
-0.36660873,1.31070045,0.76309926,0.86189777,-1.57171270,0.50665933,0.48825181,-0.58949306,-0.53676800
-0.00529435,0.70396118,0.70945547,0.99496599,-1.68188895,0.45010150,0.41242742,-0.65948380,-0.52946646
0.92223523,-0.30470570,0.73236439,0.91692401,-2.11860494,-0.35598894,0.32843335,-0.72906926,-0.51836140
3.75899934,-2.29108730,0.23390131,0.66140675,-2.40404022,-1.71749077,0.24011621,-0.78129343,-0.50960790
5.84244970,-3.72113470,-0.83240300,0.55317602,-1.82990687,-2.28637685,0.17303041,-0.81846261,-0.50081444
3.96040283,-2.42980846,-1.40904748,0.54832012,-1.09598530,-1.77276611,0.13798969,-0.85374974,-0.48757629
1.21276585,-0.27535968,-1.11523043,0.48683618,-0.69642164,-0.97243105,0.11802841,-0.88858890,-0.47226633
