ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.74966808,0.32421811,-0.88965586,-1.20878218,0.15776760,0.23816034,0.03642126,-1.23491406,-0.26969967
0.57594723,0.29036768,-0.86127230,-1.21161095,0.11705125,0.38375809,0.03515390,-1.17702072,-0.30882267
0.31919118,0.16278820,-0.84913755,-1.20257067,0.08942757,0.57300155,0.03057912,-1.09933169,-0.35864844
0.09565195,0.00850805,-0.87244683,-1.18054901,0.10681198,0.75139964,0.02328740,-1.02155456,-0.40461564
-0.04565680,-0.08724168,-0.90444855,-1.16166483,0.13785109,0.91405789,0.01523446,-0.94413595,-0.44658484
-0.11862248,-0.13902931,-0.91881108,-1.16339304,0.13647434,1.04588193,0.00672398,-0.86630799,-0.48507022
-0.17351729,-0.24648680,-0.91733606,-1.18724276,0.07914127,1.11194101,-0.00322123,-0.78653767,-0.52077690
-0.26197788,-0.49671765,-0.91572916,-1.21819618,-0.04045668,1.08201769,-0.01608853,-0.70378401,-0.55393398
-0.41706326,-0.83456283,-0.91118059,-1.25154216,-0.19043464,0.96901581,-0.03303662,-0.61784706,-0.58424043
-0.68904762,-1.10454136,-0.87052277,-1.30541799,-0.27582520,0.83053040,-0.05298305,-0.52802540,-0.61147867
-1.03466712,-1.22873439,-0.83686039,-1.38929842,-0.24640790,0.71214729,-0.07191857,-0.43245797,-0.63572419
-1.27929131,-1.30538123,-0.84872774,-1.48444132,-0.21979338,0.60688212,-0.08747108,-0.32966057,-0.65666350
-1.38391237,-1.45577498,-0.78987961,-1.56819916,-0.30196083,0.49447017,-0.10277254,-0.21979518,-0.67317500
-1.48289338,-1.68690043,-0.64586990,-1.63626246,-0.45101667,0.37658092,-0.12241057,-0.10409795,-0.68382270
-1.61551859,-1.94711315,-0.54417213,-1.69871852,-0.59216028,0.25829861,-0.14795485,0.01639215,-0.68740243
-1.72832819,-2.17416212,-0.52689626,-1.76410972,-0.72349332,0.14381162,-0.17914153,0.14132677,-0.68289469
-1.77949630,-2.31950045,-0.53456417,-1.82934388,-0.85520011,0.03617663,-0.21614943,0.27046261,-0.66920542
-1.78697617,-2.42926248,-0.54246896,-1.88087038,-0.92596305,-0.07397811,-0.25808910,0.40282104,-0.64546520
-1.83271106,-2.58639315,-0.56745199,-1.90047898,-0.91743502,-0.19445449,-0.30192645,0.53618318,-0.61160655
-1.93790063,-2.75628587,-0.54988510,-1.86968168,-0.87580103,-0.31890820,-0.34540207,0.66700994,-0.56852729
-2.05403113,-2.82803725,-0.47230751,-1.78154291,-0.82342206,-0.42081955,-0.38792481,0.79103574,-0.51813406
-2.10579912,-2.74444497,-0.38515829,-1.65060866,-0.77871836,-0.47818900,-0.42934823,0.90472689,-0.46299332
-2.10045902,-2.60550859,-0.30139761,-1.50097719,-0.78232808,-0.50621592,-0.47053815,1.00628541,-0.40538291
-2.06670994,-2.56759676,-0.22717405,-1.35378336,-0.87229152,-0.52313527,-0.51402930,1.09549984,-0.34649372
-1.91300271,-2.64098861,-0.15561352,-1.22928102,-1.03874944,-0.50929740,-0.56285848,1.17360498,-0.28613569
-1.62770339,-2.70750955,-0.08733000,-1.14214127,-1.20653319,-0.43280728,-0.61762159,1.24325280,-0.22330888
-1.34196691,-2.66808284,-0.06402980,-1.08800732,-1.31826474,-0.29737701,-0.67544512,1.30761028,-0.15726467
-1.15872838,-2.53359058,-0.08497033,-1.04856245,-1.42124716,-0.14750274,-0.73363847,1.36884617,-0.08758212
-1.09958638,-2.37473485,-0.09477193,-1.01174069,-1.56296028,-0.02265969,-0.79257213,1.42763411,-0.01352682
-1.14776196,-2.24008934,-0.10751631,-0.97543683,-1.67017212,0.07636840,-0.85258486,1.48396868,0.06516143
-1.21056792,-2.15050710,-0.19417180,-0.93845400,-1.68038323,0.15838783,-0.91105153,1.53781871,0.14708395
-1.08866015,-2.10624355,-0.31676795,-0.89836128,-1.67078418,0.20169687,-0.96596512,1.58893480,0.23064848
-0.74755739,-2.11498271,-0.37725568,-0.85462993,-1.72103158,0.17099824,-1.01941970,1.63645217,0.31598023
-0.43399906,-2.20444268,-0.39069251,-0.82228606,-1.82128537,0.06549720,-1.07486643,1.67933999,0.40419369
-0.37154793,-2.29995793,-0.35286121,-0.82305921,-1.87496604,-0.08297672,-1.13379333,1.71772839,0.49683408
-0.53643624,-2.25763716,-0.31246715,-0.84001984,-1.77756686,-0.24318647,-1.19424404,1.75233983,0.59342540
-0.67162760,-2.11628152,-0.38106857,-0.83781731,-1.59541120,-0.39996929,-1.25255887,1.78264297,0.68991637
-0.66953587,-2.03568464,-0.42661647,-0.81568435,-1.43374247,-0.55404039,-1.30802921,1.80745585,0.78339331
-0.70765955,-2.02250388,-0.37052291,-0.78692712,-1.28003420,-0.70509012,-1.36185361,1.82616853,0.87314487
-0.82900076,-2.01145265,-0.31027969,-0.75222861,-1.10611537,-0.85025379,-1.41416432,1.83860005,0.95792869
-0.90908853,-2.02752245,-0.27211633,-0.70696923,-0.91718112,-0.99647337,-1.46481019,1.84448000,1.03595002
-0.91166546,-2.06483387,-0.25158488,-0.65560043,-0.74764255,-1.14459510,-1.51424606,1.84342546,1.10601087
-0.88931409,-2.04747781,-0.21471015,-0.61666985,-0.64081208,-1.27122700,-1.56348217,1.83577055,1.16926750
