ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.16906362,-0.10280234,-0.57117041,-1.00066125,0.44173460,2.21593239,-1.68147231,-1.04998989,0.49906131
0.10020398,-0.13066866,-0.55559226,-0.95276033,0.50369674,2.18460315,-1.69581616,-0.97431371,0.45999337
-0.01618039,-0.17984108,-0.54224989,-0.88358967,0.58262057,2.14085343,-1.71057708,-0.87546949,0.40947936
-0.16031113,-0.27249241,-0.53428007,-0.80893117,0.64892896,2.08743212,-1.71905585,-0.78026871,0.36136575
-0.31576311,-0.43758848,-0.52991023,-0.73252182,0.69820945,2.01815480,-1.72178965,-0.68961141,0.31579196
-0.46290794,-0.65690150,-0.53242285,-0.65956284,0.73571558,1.93719670,-1.71936898,-0.60418547,0.27277309
-0.57116061,-0.87815897,-0.54050166,-0.59816684,0.76677986,1.85820337,-1.71232763,-0.52403224,0.23197789
-0.61221018,-1.06341892,-0.54246351,-0.55630780,0.79195966,1.79618410,-1.70125205,-0.44827676,0.19293748
-0.60385794,-1.20504755,-0.53182848,-0.53588302,0.81650284,1.75593864,-1.68666525,-0.37543347,0.15519273
-0.60674951,-1.31732514,-0.52209664,-0.53168354,0.85081643,1.73024828,-1.66866102,-0.30410016,0.11816552
-0.65541421,-1.40905867,-0.52109210,-0.53641192,0.89706960,1.71123043,-1.64695661,-0.23338561,0.08127685
-0.74662326,-1.48422665,-0.51861726,-0.54428374,0.95232295,1.69246179,-1.62123215,-0.16294418,0.04420969
-0.87937688,-1.55438277,-0.50522839,-0.55257417,1.01523912,1.66946592,-1.59117584,-0.09282467,0.00682193
-1.04088548,-1.62768501,-0.48003174,-0.56025363,1.07832216,1.64090834,-1.55660211,-0.02322091,-0.03085089
-1.21658729,-1.71622049,-0.45476388,-0.56346972,1.13244576,1.60288581,-1.51768305,0.04550452,-0.06844023
-1.42524815,-1.83523752,-0.45514898,-0.55587708,1.17211536,1.54934664,-1.47492816,0.11254038,-0.10535909
-1.68531530,-1.97662498,-0.49090545,-0.53515095,1.19460772,1.47603661,-1.42908315,0.17669929,-0.14101071
-1.96946779,-2.11000852,-0.53531585,-0.50582588,1.20414521,1.38688762,-1.38095783,0.23691385,-0.17496793
-2.22188355,-2.22297445,-0.56077262,-0.47466334,1.21091497,1.29235892,-1.33115350,0.29266219,-0.20709488
-2.42676771,-2.33194513,-0.56764526,-0.44611831,1.21580017,1.19947640,-1.27996910,0.34396736,-0.23749102
-2.60286161,-2.45105008,-0.55436974,-0.42686069,1.18178946,1.11555585,-1.22833121,0.39134376,-0.26575407
-2.69241021,-2.56689669,-0.47800268,-0.42869416,1.06624133,1.05041712,-1.17889129,0.43612379,-0.29021005
-2.61120698,-2.65871312,-0.31309494,-0.45831331,0.88498173,1.00773666,-1.13487309,0.48044229,-0.30876673
-2.40180804,-2.72967063,-0.11409794,-0.51111577,0.68222845,0.98595424,-1.09807574,0.52648357,-0.32026696
-2.15108606,-2.78434983,0.06581538,-0.57551093,0.47847605,0.98176265,-1.06887582,0.57579216,-0.32443102
-1.88802539,-2.82712364,0.21910899,-0.63770411,0.28134795,0.98861362,-1.04708975,0.62896176,-0.32132019
-1.63731126,-2.87203702,0.33861742,-0.68498679,0.09630787,0.99791935,-1.03220871,0.68554980,-0.31130388
-1.41417685,-2.92456827,0.41887983,-0.70798484,-0.08707819,1.00106465,-1.02385547,0.74421643,-0.29491316
-1.20429271,-2.98002793,0.46886659,-0.70423901,-0.27819388,0.99211720,-1.02221694,0.80312229,-0.27259738
-1.01140613,-3.02399755,0.49385180,-0.67802151,-0.45351102,0.97010145,-1.02724657,0.86047684,-0.24504921
-0.85402807,-3.04193644,0.48486254,-0.63459216,-0.58121893,0.93913976,-1.03771209,0.91488261,-0.21363092
-0.73125577,-3.03463260,0.44269955,-0.57824534,-0.65923066,0.90165465,-1.05169153,0.96534198,-0.18008398
-0.63710417,-3.01945463,0.38611336,-0.51220674,-0.70500060,0.85170044,-1.06771373,1.01108303,-0.14592961
-0.57446877,-3.02235373,0.32502291,-0.43889025,-0.73476527,0.78334988,-1.08515581,1.05141244,-0.11225568
-0.53497281,-3.05807575,0.25925999,-0.36002064,-0.75920449,0.69641792,-1.10402789,1.08571009,-0.07977706
-0.50485046,-3.13235441,0.18890818,-0.27691456,-0.77955436,0.59108640,-1.12461205,1.11345617,-0.04898218
-0.47885864,-3.24175384,0.11354784,-0.19403531,-0.78441545,0.46813282,-1.14699738,1.13428064,-0.02036214
-0.44994879,-3.34637754,0.04331554,-0.11882182,-0.75951276,0.33466040,-1.17071148,1.14818960,0.00549341
-0.41931771,-3.40442646,-0.00493535,-0.05776302,-0.70660338,0.20356305,-1.19487840,1.15576860,0.02813511
-0.39087051,-3.41131411,-0.02634854,-0.01327334,-0.63306462,0.08676821,-1.21859250,1.15807490,0.04744130
-0.37323485,-3.37963927,-0.03184353,0.01846245,-0.53125223,-0.01170643,-1.24078482,1.15624572,0.06323170
-0.40100964,-3.32855421,-0.03385188,0.04574744,-0.40237010,-0.10076745,-1.26024672,1.15100284,0.07492908
-0.49603557,-3.28058933,-0.02917868,0.07453680,-0.28076014,-0.19646063,-1.27659419,1.14239166,0.08215069
