ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.22028662,-0.44159965,-0.11583454,-0.10141863,0.21695617,-0.12753315,-0.26657327,-1.84176503,0.34122125
0.20520044,-0.41288503,-0.13000961,-0.10097953,0.24441987,-0.09918391,-0.25827738,-1.83926422,0.33643910
0.17930077,-0.37337124,-0.13505954,-0.09942569,0.28136713,-0.04835275,-0.24731451,-1.83581392,0.33000163
0.15532619,-0.35216145,-0.12326739,-0.09320049,0.30520523,0.01677738,-0.23694617,-1.83228636,0.32366896
0.13756017,-0.37286210,-0.09984149,-0.07133505,0.29275711,0.07649824,-0.22812323,-1.82918441,0.31822433
0.11691923,-0.46226932,-0.07746881,-0.02098084,0.24139165,0.10385217,-0.22160421,-1.82777745,0.31536925
0.08320838,-0.62923699,-0.07154876,0.05258194,0.17064129,0.09001346,-0.21729059,-1.82965814,0.31707786
0.05589821,-0.81424655,-0.08126389,0.12351407,0.09474613,0.04651819,-0.21455207,-1.83551098,0.32413163
0.06494638,-0.93042226,-0.09572234,0.16872464,0.03093495,-0.01123132,-0.21267667,-1.84459114,0.33553063
0.08329072,-0.94251606,-0.11363255,0.18158351,0.00493518,-0.07616306,-0.21054955,-1.85534190,0.34917373
0.07577067,-0.88053636,-0.13300614,0.16602050,0.02555332,-0.14782151,-0.20655649,-1.86616518,0.36277597
0.05715972,-0.78840674,-0.13632094,0.13141579,0.08317909,-0.22479771,-0.19914937,-1.87583564,0.37449556
0.04009453,-0.67024052,-0.10813175,0.08999102,0.16743062,-0.30402842,-0.18721539,-1.88369251,0.38330145
0.00679732,-0.50515618,-0.04634666,0.04952374,0.27446900,-0.38149511,-0.16997509,-1.88958263,0.38894767
-0.07031359,-0.29340409,0.04880000,0.01160932,0.40633681,-0.45497921,-0.14676780,-1.89355274,0.39157185
-0.18071289,-0.04372760,0.18440029,-0.02872113,0.55997497,-0.51505886,-0.11707726,-1.89553780,0.39130366
-0.27360788,0.25121984,0.37934135,-0.09574879,0.69441533,-0.53235573,-0.08152163,-1.89471843,0.38745308
-0.30460947,0.57808999,0.65406055,-0.22424027,0.72188038,-0.46999558,-0.04377410,-1.88866905,0.37731600
-0.24133008,0.87106032,0.98874940,-0.41513313,0.55168961,-0.31804577,-0.01120197,-1.87393327,0.35674790
-0.07088995,1.01225266,1.29922470,-0.61346018,0.18163042,-0.10987395,0.00749128,-1.84846096,0.32337057
0.17266583,0.91761669,1.46342871,-0.74932149,-0.29418087,0.10551811,0.00618207,-1.81354657,0.27936419
0.38265093,0.64539056,1.38356630,-0.79648159,-0.79767125,0.30271760,-0.01731270,-1.77304434,0.23055879
0.43819561,0.34065134,1.04647092,-0.76613113,-1.26260770,0.48747028,-0.06266980,-1.73115074,0.18341759
0.32134172,0.09447270,0.51267063,-0.66068120,-1.58947264,0.65818029,-0.12686456,-1.69174846,0.14377331
0.09821908,-0.13292379,-0.13257962,-0.47249789,-1.68481966,0.77935397,-0.20267342,-1.65920138,0.11692492
-0.17081489,-0.46430589,-0.80138948,-0.22547134,-1.50689970,0.81482213,-0.27917535,-1.63787539,0.10625412
-0.39400909,-0.90557477,-1.37839617,0.01285073,-1.10207215,0.76138039,-0.34496680,-1.62979826,0.11087908
-0.45749922,-1.29525365,-1.73335561,0.17145262,-0.58829142,0.64269945,-0.39207782,-1.63300796,0.12534540
-0.35990028,-1.55597551,-1.80164313,0.21826323,-0.09368362,0.48644695,-0.41781578,-1.64246698,0.14209845
-0.19334074,-1.74942863,-1.62360665,0.17088078,0.29481092,0.31031670,-0.42394474,-1.65266607,0.15473272
-0.01278598,-1.89260143,-1.31455623,0.07565330,0.55329659,0.12446555,-0.41439836,-1.65984522,0.15990827
0.14821194,-1.94488063,-0.99410494,-0.01795505,0.71216509,-0.06432407,-0.39302530,-1.66280823,0.15748656
0.19993288,-1.85784410,-0.73069361,-0.07555045,0.82540386,-0.24280894,-0.36233059,-1.66256493,0.14962200
0.09598522,-1.59372489,-0.52603086,-0.09482996,0.93030334,-0.37747100,-0.32376717,-1.66096482,0.13920429
-0.07449510,-1.20064866,-0.32970779,-0.09896041,1.01588982,-0.43395944,-0.27924689,-1.65903669,0.12827685
-0.18709396,-0.80448659,-0.09290237,-0.10751185,1.03746844,-0.40889851,-0.23226611,-1.65654401,0.11759984
-0.18941310,-0.49222664,0.18258558,-0.12275396,0.96202026,-0.32426326,-0.18752447,-1.65284906,0.10729047
-0.11388422,-0.28341217,0.45231260,-0.13718213,0.78443704,-0.20796261,-0.14973240,-1.64772952,0.09743047
-0.01645093,-0.17299781,0.66878166,-0.14056459,0.51878632,-0.08670029,-0.12274732,-1.64161914,0.08835727
0.07267227,-0.13180167,0.80037725,-0.12607578,0.19774338,0.02334876,-0.10908101,-1.63550877,0.08079198
0.13646823,-0.12299803,0.83436878,-0.10032729,-0.13676986,0.12279945,-0.10970321,-1.63036890,0.07548589
0.16629359,-0.12931960,0.78315369,-0.07965883,-0.44975736,0.21372006,-0.12426505,-1.62640014,0.07260772
0.16053004,-0.15643226,0.66460184,-0.07632127,-0.70381993,0.28957028,-0.15106522,-1.62291663,0.07160866
0.11048033,-0.21087699,0.48159934,-0.09644909,-0.86009026,0.34404549,-0.18682398,-1.61869779,0.07138487
0.01755888,-0.28155313,0.23807605,-0.14148463,-0.90028908,0.37631381,-0.22714132,-1.61230481,0.07036628
-0.09200236,-0.36001630,-0.04068964,-0.20507264,-0.83969291,0.38735217,-0.26754572,-1.60248592,0.06685849
-0.18564229,-0.44923260,-0.30573475,-0.27604846,-0.72275559,0.37684194,-0.30466902,-1.58855527,0.05961023
-0.23792978,-0.55215386,-0.51264598,-0.34189246,-0.59246855,0.34899280,-0.33684839,-1.57051219,0.04819259
-0.24425596,-0.65874379,-0.65251547,-0.38761889,-0.46528687,0.31409143,-0.36367354,-1.54913876,0.03316235
-0.23137522,-0.73397207,-0.72825220,-0.40689411,-0.37134178,0.28782989,-0.38111899,-1.53185541,0.02045260
