ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.64603080,0.67736854,-0.04955573,-0.70383492,-1.84099247,-1.10793172,-1.38118593,1.62751093,0.62347876
-0.57616058,0.64734171,-0.13424065,-0.77273574,-1.76135473,-1.15608476,-1.43998934,1.63279448,0.69748078
-0.50339683,0.58231805,-0.24434893,-0.86525535,-1.62030489,-1.24236466,-1.51577796,1.63932776,0.79869350
-0.42621534,0.51931002,-0.32646275,-0.95440312,-1.47008246,-1.36496098,-1.58803848,1.64412673,0.90283502
-0.31527987,0.50413290,-0.34025017,-1.02836505,-1.37896082,-1.51207102,-1.65840201,1.64545846,1.00976412
-0.19523644,0.54183957,-0.29622851,-1.07481274,-1.34527156,-1.65190579,-1.72877566,1.64161169,1.12016016
-0.10543004,0.60088164,-0.28785760,-1.09632095,-1.28732074,-1.75468616,-1.79904943,1.63160507,1.23271061
-0.03912282,0.67482032,-0.35827809,-1.11509763,-1.17989380,-1.80983250,-1.86724131,1.61576731,1.34435525
0.02908793,0.78427669,-0.42761992,-1.15495627,-1.08642070,-1.82936261,-1.93200766,1.59546536,1.45429661
0.11143504,0.90678402,-0.43918973,-1.21676009,-1.04750726,-1.83704191,-1.99361438,1.57193406,1.56490934
0.21866047,1.00420269,-0.41389317,-1.27830234,-1.06887676,-1.85069254,-2.05299006,1.54531571,1.67896148
0.35502317,1.08855366,-0.36423229,-1.31482389,-1.16221085,-1.87635420,-2.11112065,1.51466016,1.79850176
0.51381957,1.16914886,-0.31590838,-1.31222827,-1.32696847,-1.90265069,-2.16866345,1.47865667,1.92509138
0.69641019,1.23158662,-0.32293215,-1.26018525,-1.54669169,-1.89024964,-2.22526889,1.43680102,2.05974271
0.88430563,1.31598615,-0.40029067,-1.15201907,-1.76483443,-1.79630799,-2.27908046,1.39039852,2.20167781
0.95789373,1.43752795,-0.54800028,-1.01249054,-1.90126240,-1.63156441,-2.32733467,1.34217767,2.34684719
0.94181854,1.52071744,-0.73134247,-0.89029515,-1.95015762,-1.45199154,-2.36817570,1.29458237,2.49068450
1.00855802,1.52926818,-0.87493329,-0.80475638,-1.96514144,-1.28707963,-2.40136599,1.24887182,2.63161078
1.10587760,1.47363267,-0.96944234,-0.72657541,-1.98968432,-1.13682952,-2.42734487,1.20561463,2.77019616
1.16768474,1.33498269,-1.03196312,-0.60933495,-2.04853240,-1.01225458,-2.44664750,1.16492061,2.90707205
