ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.03828803,0.10223712,-0.24245284,-0.56094648,-0.45728806,-0.17017781,2.28609915,-0.08044127,4.76453323
0.04762732,0.10242888,-0.24764665,-0.55108004,-0.48901308,-0.20234872,2.29576430,-0.08963461,4.74318986
0.05838006,0.10331402,-0.24879978,-0.53604631,-0.52720931,-0.24090630,2.30922411,-0.10035013,4.71323064
0.06906614,0.09927689,-0.24624466,-0.52065041,-0.57438296,-0.27061402,2.32349104,-0.10893420,4.68104952
0.05482685,0.08749879,-0.22144801,-0.48978864,-0.76953573,-0.30232957,2.34035814,-0.11516250,4.64241583
-0.09107803,0.06315291,-0.15466820,-0.42942446,-1.17551145,-0.34205990,2.36373617,-0.11792965,4.58769513
-0.33761262,0.01304762,-0.12216949,-0.35668699,-1.60874729,-0.37741461,2.39534327,-0.11637563,4.51081850
-0.48179138,-0.05471435,-0.15906492,-0.27496168,-1.97057968,-0.44292530,2.43359626,-0.10975696,4.41212339
-0.49361155,-0.25201786,-0.19388733,-0.18149929,-2.19563419,-0.60376177,2.47536453,-0.09546373,4.29612465
-0.42533806,-0.66512649,-0.27625219,-0.09929985,-2.18560583,-0.85339403,2.51616371,-0.06997990,4.17301263
-0.25146529,-1.01101830,-0.41110807,-0.04081626,-2.01393285,-1.12607330,2.55206824,-0.03190528,4.05392259
-0.00547961,-1.08668789,-0.46895566,0.00402208,-1.77684395,-1.38473860,2.58142001,0.01814610,3.94511260
0.19809011,-1.04590375,-0.46418874,0.04646451,-1.46951310,-1.64088500,2.60360490,0.07947144,3.85062596
0.42652149,-1.00449826,-0.46240636,0.09324204,-1.09246861,-1.92667614,2.61793932,0.15244485,3.77496595
0.77554129,-0.95682731,-0.44507744,0.15051766,-0.69507350,-2.24566523,2.62384355,0.23837299,3.72091307
0.99707210,-0.88555912,-0.40126142,0.22467091,-0.34285709,-2.54290702,2.62100514,0.33759267,3.68768849
0.83914611,-0.74011276,-0.31635197,0.31893755,-0.19364397,-2.66503498,2.61035742,0.44658177,3.66789654
0.25530897,-0.22869780,-0.10664183,0.42455757,-0.41093558,-2.36055607,2.59646098,0.55370916,3.64362439
-0.52121774,0.86132549,0.19005295,0.50900780,-0.82052162,-1.57175761,2.58667571,0.64015033,3.59711370
-0.86218525,1.84322388,0.25422858,0.54032581,-1.05679114,-0.64942916,2.58534896,0.69253715,3.52900034
-0.46870285,1.74384149,0.00902065,0.53662655,-1.05909407,-0.01150500,2.59093736,0.71354800,3.45357389
0.13916082,0.70617611,-0.14978938,0.54361465,-1.01776880,0.24758003,2.59946472,0.71659437,3.37956744
0.38490832,-0.32269233,-0.05570394,0.57410335,-1.04672129,0.28290165,2.60820938,0.71373166,3.30537893
0.26323972,-0.84339243,0.06411075,0.61339154,-1.10987398,0.25867174,2.61614625,0.71031389,3.22725726
0.00857050,-1.00153887,0.05950550,0.65096065,-1.13569774,0.24819140,2.62297637,0.70685681,3.14540933
-0.21724670,-1.09763361,-0.01647718,0.68132480,-1.14068212,0.23754965,2.62854925,0.70274505,3.06209256
-0.29445564,-1.28426187,-0.04719025,0.69697025,-1.20913300,0.18641273,2.63259833,0.69865634,2.97633366
-0.22972948,-1.47132978,0.00505772,0.69821818,-1.36089575,0.09393272,2.63462084,0.69616502,2.88387977
-0.11566131,-1.51554057,0.07651798,0.69546234,-1.55087391,-0.02325214,2.63392440,0.69633987,2.78149836
0.07712726,-1.45896047,0.13304096,0.69134680,-1.78751553,-0.17278435,2.62949808,0.70009244,2.66703595
0.32946754,-1.41063885,0.20517406,0.68099878,-2.10308411,-0.35444863,2.61981336,0.70856468,2.53700514
0.44850921,-1.39561580,0.29190839,0.66394406,-2.48162774,-0.54950487,2.60283086,0.72241468,2.38758378
0.38467993,-1.40845992,0.36788017,0.64146449,-2.87291353,-0.74978517,2.57617780,0.74165192,2.21724620
0.27860623,-1.43900176,0.42786073,0.60922550,-3.18696171,-0.95948363,2.53755432,0.76622556,2.02846295
0.21747346,-1.43702632,0.36189073,0.53189789,-3.07059871,-1.14901885,2.48805906,0.79629218,1.83678023
0.18794412,-1.24463001,-0.19082794,0.39373223,-2.35298558,-1.25478361,2.43550541,0.83150408,1.67298136
0.05208035,-0.83287965,-1.00308038,0.26559221,-1.40574146,-1.22119581,2.39045266,0.86928185,1.56072663
-0.24682211,-0.42839126,-1.36754679,0.18947573,-0.60665143,-1.04153497,2.35894814,0.90457034,1.50018921
-0.41222012,-0.22550896,-1.19344017,0.12951152,-0.19801613,-0.77550947,2.33961446,0.93306327,1.47353886
-0.34955531,-0.13760154,-0.75307283,0.07100745,-0.13696189,-0.46447708,2.32751784,0.95286980,1.46019059
-0.25817374,0.06116156,-0.38765202,0.02665647,-0.21896846,-0.11370946,2.31933466,0.96260668,1.44757941
-0.13383509,0.28155316,-0.17929047,-0.00061166,-0.34864031,0.25833710,2.31392576,0.96081681,1.43042408
0.00045449,0.35102009,-0.05397243,-0.01260247,-0.48591640,0.59434212,2.31079853,0.94721283,1.40724067
0.19607581,0.20769990,-0.00363435,-0.00916729,-0.65944142,0.80315975,2.30817945,0.92415593,1.37643424
0.50207782,-0.15704859,0.06569767,0.00020051,-0.84419554,0.85507992,2.30312012,0.89649863,1.33604311
0.58013364,-0.52528655,0.09880383,0.00505585,-0.97637672,0.79492041,2.29408123,0.86894502,1.28751922
0.31872657,-0.80710348,0.07137831,0.02054463,-1.08421949,0.63638386,2.28054719,0.84487289,1.23333402
0.05099429,-1.18904055,0.12918702,0.07357848,-1.21473796,0.37435562,2.26104008,0.82688674,1.17270869
-0.07761800,-1.63207804,0.26828304,0.16690495,-1.32296839,0.06888023,2.23441199,0.81596112,1.10451895
-0.14383896,-1.88374420,0.35338649,0.25124517,-1.36413922,-0.14939948,2.21093949,0.81108692,1.04988795
