ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.80136320,1.51745156,-0.02644663,-0.43405345,-0.51752368,3.18982138,2.15775485,1.20905612,1.32269307
-0.92744757,1.49727178,-0.00670936,-0.41281891,-0.56815785,3.14549930,2.18731919,1.14290538,1.31318828
-1.08174292,1.47023615,0.02121062,-0.38117758,-0.63240164,3.09967017,2.22257046,1.05409284,1.29651516
-1.20900451,1.45298226,0.05251806,-0.34815763,-0.68324971,3.07618366,2.25190603,0.96405498,1.27425887
-1.31771101,1.45140962,0.07454487,-0.31609526,-0.71234631,3.07452431,2.27595148,0.87230858,1.24753215
-1.42157438,1.44905986,0.09147561,-0.28393164,-0.72975978,3.08396241,2.29516908,0.77851205,1.21747524
-1.52394687,1.42188272,0.12597395,-0.25239705,-0.75535405,3.08747713,2.30948932,0.68278129,1.18445136
-1.61570483,1.37466480,0.17453474,-0.22186094,-0.81816342,3.07278493,2.31819012,0.58577303,1.14763728
-1.68495165,1.33122609,0.23795143,-0.19347948,-0.94027969,3.03562686,2.31993932,0.48846724,1.10488927
-1.73656477,1.30652432,0.30283551,-0.17320486,-1.10092923,2.97623861,2.31333797,0.39217058,1.05400139
-1.75990124,1.29836548,0.32732372,-0.16304575,-1.27838318,2.89140987,2.29751350,0.29850418,0.99403499
-1.71988382,1.25560925,0.34234492,-0.15623230,-1.50385785,2.76627422,2.27157781,0.20919826,0.92406561
-1.61143608,1.10176874,0.41814450,-0.14518603,-1.80704423,2.58559579,2.23373647,0.12615521,0.84159249
-1.48676221,0.84180892,0.53133796,-0.13058274,-2.15100688,2.35557013,2.18209858,0.05128145,0.74455981
-1.40504438,0.60048806,0.60148451,-0.12236170,-2.48054713,2.09842725,2.11598321,-0.01396182,0.63386982
-1.34683161,0.47465205,0.61319528,-0.13064478,-2.76142045,1.83387824,2.03584790,-0.06853228,0.51272039
-1.26473935,0.43087168,0.57897923,-0.15676372,-2.86274092,1.57231212,1.94454389,-0.11173524,0.38729945
-1.18338125,0.38560408,0.33480453,-0.17935983,-2.33152260,1.29177170,1.85463209,-0.14337282,0.27388670
-1.07266730,0.19193994,-0.62917822,-0.16627460,-1.18575566,0.92384042,1.79101230,-0.16406242,0.19895667
-0.81938015,-0.24956510,-1.64847995,-0.12900851,-0.42926863,0.46801531,1.76227397,-0.17441875,0.16699312
-0.53927489,-0.64291097,-1.18714519,-0.09842368,-0.48889040,0.05050126,1.74606619,-0.17481657,0.14897905
-0.35059922,-0.70563428,-0.03962879,-0.05600938,-0.85506589,-0.25441763,1.72212534,-0.16771401,0.12192463
-0.03628222,-0.67048421,0.37947033,0.02832897,-1.18564751,-0.47939535,1.68631799,-0.15762945,0.08271372
0.41530415,-0.66467345,0.34549587,0.14388120,-1.39643420,-0.63154000,1.64066801,-0.14898168,0.03513116
0.68787858,-0.47384812,0.20985743,0.25955488,-1.52527559,-0.68320522,1.58859079,-0.14527045,-0.01595919
0.67129761,-0.10045760,0.09209250,0.36017611,-1.70636637,-0.65287820,1.53000603,-0.14862926,-0.06949079
0.56021805,0.16696601,0.11469334,0.45562864,-1.96485024,-0.60484639,1.46170281,-0.15990932,-0.12718822
0.53874297,0.15653278,0.15120584,0.55361327,-2.21165592,-0.58806887,1.38211278,-0.17925296,-0.18883659
0.55153647,-0.01472826,0.10772624,0.64338561,-2.39664612,-0.62361453,1.29264435,-0.20597500,-0.25161367
0.48578209,-0.18931130,0.04217985,0.71211745,-2.52233181,-0.71565927,1.19570875,-0.23841568,-0.31241750
0.36722071,-0.31198778,-0.00146760,0.75258557,-2.59101443,-0.84424650,1.09383867,-0.27449914,-0.36880861
0.23162159,-0.33131257,-0.04073650,0.76172879,-2.58580192,-0.97072713,0.98996092,-0.31231351,-0.41888215
0.05893779,-0.23260597,-0.10108036,0.74499907,-2.46870283,-1.03729306,0.88813673,-0.35060568,-0.46093749
-0.08164562,-0.08093350,-0.18453368,0.70932537,-2.24298803,-0.99431325,0.79318923,-0.38898256,-0.49368874
-0.11061723,0.08658183,-0.24967534,0.64991402,-1.98974274,-0.85427536,0.70787583,-0.42695484,-0.51743250
-0.10204445,0.26072271,-0.27091597,0.55806667,-1.77201102,-0.67061456,0.63156083,-0.46277128,-0.53425570
-0.15432018,0.38977603,-0.27946344,0.43698768,-1.61063724,-0.48573542,0.56204558,-0.49379348,-0.54677897
-0.20678117,0.42833937,-0.27650105,0.30490247,-1.53080416,-0.32082638,0.49635334,-0.51793948,-0.55729880
-0.11434785,0.36477531,-0.23033699,0.18511519,-1.51015606,-0.18895591,0.43138656,-0.53467524,-0.56729113
0.06077663,0.23108946,-0.17076770,0.09134560,-1.49016285,-0.10396576,0.36606278,-0.54483638,-0.57701527
0.11654186,0.07529194,-0.14017233,0.02852403,-1.43906013,-0.06794263,0.30154545,-0.54997692,-0.58593217
0.01035543,-0.10081517,-0.12866465,-0.00111542,-1.34487356,-0.06749723,0.23994277,-0.55207313,-0.59334205
-0.14781953,-0.27834252,-0.11145308,-0.00108179,-1.21776214,-0.08886126,0.18328132,-0.55322729,-0.59871919
-0.24140555,-0.39862319,-0.07530024,0.01986268,-1.08150598,-0.11953744,0.13265030,-0.55522116,-0.60187087
