ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.13970156,0.23322233,0.11836962,0.41210465,-0.44256773,0.60525891,2.13258173,-1.04390595,1.18970417
-0.16031015,0.28588506,0.12809965,0.38960979,-0.40196626,0.54266035,2.11921437,-1.06670260,1.18654360
-0.19683807,0.35136259,0.13729381,0.36706557,-0.32847109,0.45757329,2.10319420,-1.09469944,1.18421958
-0.24849334,0.41228715,0.14514701,0.35620644,-0.22996374,0.37445760,2.09028843,-1.11939440,1.18570351
-0.30319995,0.47449378,0.15309794,0.35631356,-0.11839367,0.29653674,2.08093506,-1.14131136,1.19221912
-0.34870156,0.54610531,0.16028810,0.36347772,-0.01196435,0.21904828,2.07522181,-1.16086036,1.20423798
-0.38507364,0.62940198,0.16995674,0.37199841,0.07377912,0.13494234,2.07295433,-1.17807729,1.22128231
-0.40992058,0.73234167,0.18377468,0.37935446,0.12840468,0.04078306,2.07375065,-1.19267008,1.24211416
-0.42075467,0.86208585,0.20397298,0.38653985,0.14097997,-0.06683217,2.07709114,-1.20420971,1.26500718
-0.42828649,1.00176668,0.24125388,0.39409785,0.11209549,-0.18835045,2.08238936,-1.21222991,1.28797568
-0.46751387,1.13175119,0.29077452,0.40080436,0.07177563,-0.31456651,2.08927616,-1.21640402,1.30965740
-0.56921395,1.24090610,0.32399439,0.40476630,0.06110136,-0.43180134,2.09790273,-1.21673001,1.33035516
-0.70527964,1.32729531,0.33084923,0.40340985,0.09575948,-0.53359805,2.10879070,-1.21344101,1.35167633
-0.81942524,1.40384501,0.33379273,0.39316132,0.16130527,-0.62596730,2.12240167,-1.20665562,1.37507908
-0.88540409,1.48657811,0.34884045,0.37170108,0.23554956,-0.72222322,2.13896308,-1.19607362,1.40100923
-0.90967763,1.59002610,0.36640116,0.33881154,0.30654678,-0.83175563,2.15855791,-1.18097525,1.42907513
-0.90765059,1.71600615,0.37152158,0.29666309,0.37519583,-0.94934148,2.18117539,-1.16059604,1.45871465
-0.87734787,1.85932299,0.35583080,0.24954649,0.44225094,-1.05884636,2.20658808,-1.13465000,1.48963031
-0.81822745,2.02510992,0.32653062,0.19725001,0.49947122,-1.15087557,2.23422911,-1.10339466,1.52146598
-0.73294759,2.21556847,0.30188874,0.13135785,0.54683211,-1.23143639,2.26341486,-1.06704960,1.55347304
-0.61682885,2.42696132,0.27560908,0.04096187,0.59869578,-1.31909588,2.29382546,-1.02516481,1.58499878
-0.48260102,2.63908856,0.23524699,-0.07898898,0.66082105,-1.43933200,2.32563907,-0.97634621,1.61577057
-0.34076493,2.80764060,0.19283151,-0.22124206,0.72199827,-1.61142108,2.35919648,-0.91842508,1.64557261
-0.19204002,2.89292444,0.15747394,-0.36673739,0.76562196,-1.83953194,2.39458002,-0.84908089,1.67416601
-0.05148798,2.86947375,0.12705006,-0.49216667,0.77891641,-2.11131620,2.43130651,-0.76660645,1.70143178
0.07930133,2.75413294,0.09635952,-0.58016162,0.75456257,-2.40390108,2.46821588,-0.67037417,1.72730243
0.22140306,2.60345530,0.06199160,-0.62523814,0.70385306,-2.69207639,2.50367028,-0.56082799,1.75182146
0.36921246,2.45858508,0.01918156,-0.62851320,0.66119688,-2.94729215,2.53601904,-0.43944464,1.77597373
0.48811005,2.33263350,-0.03142500,-0.59317186,0.64859971,-3.14173635,2.56388817,-0.30884288,1.80188079
0.56048957,2.20328039,-0.06857511,-0.52526058,0.66238114,-3.25299294,2.58616822,-0.17262549,1.83146792
0.60791726,2.06119202,-0.09105242,-0.43043998,0.68093409,-3.26164897,2.60206760,-0.03517124,1.86532568
0.66846387,1.93545650,-0.11366343,-0.31668015,0.64854249,-3.16491794,2.61107613,0.09872901,1.90139468
0.74610213,1.81218881,-0.11692990,-0.20255657,0.52269742,-2.99473285,2.61285907,0.22511126,1.93420543
0.81226035,1.66173225,-0.10711159,-0.11675622,0.34242301,-2.80046272,2.60760404,0.34215241,1.95822893
0.84714253,1.50743955,-0.13399833,-0.08904870,0.17983680,-2.62132275,2.59626325,0.45038381,1.97213045
0.84859126,1.36449786,-0.19998286,-0.13797707,0.07079853,-2.47602148,2.58010810,0.55194233,1.97879437
0.83976755,1.22478438,-0.27173086,-0.26052047,0.00765452,-2.36306367,2.56019339,0.64943110,1.98278615
0.88028977,1.11170288,-0.32660553,-0.42948920,-0.06973392,-2.27360638,2.53696990,0.74493143,1.98716068
1.05615626,1.03603580,-0.33999222,-0.60717881,-0.22976916,-2.20769369,2.50996525,0.83971608,1.99083010
1.40002318,0.94534233,-0.32778118,-0.76777485,-0.45216423,-2.16955128,2.47820766,0.93458409,1.99058944
1.80983170,0.79872193,-0.36230641,-0.90053074,-0.65774591,-2.14756677,2.44124160,1.02991702,1.98584637
2.16552270,0.61033427,-0.46737310,-0.99728215,-0.80511718,-2.11714486,2.39951113,1.12524724,1.97902793
2.45395374,0.38400045,-0.59446879,-1.04826913,-0.89876224,-2.05792089,2.35406225,1.21908511,1.97265262
2.70333089,0.11272310,-0.70522121,-1.04688715,-0.95701549,-1.96115625,2.30620552,1.30931612,1.96757742
2.89231826,-0.19188380,-0.79143710,-0.99562147,-0.98903096,-1.82880645,2.25733720,1.39378104,1.96311142
2.95135243,-0.50495185,-0.85839601,-0.90779158,-0.98540671,-1.66778982,2.20892980,1.47074016,1.95832306
2.86992866,-0.78281204,-0.91440710,-0.80324632,-0.94264283,-1.48876500,2.16246932,1.53916400,1.95308890
2.72806904,-1.01368460,-0.95191433,-0.69999203,-0.88749703,-1.30611386,2.11907400,1.59883705,1.94754481
2.59386571,-1.22527925,-0.95406401,-0.60661972,-0.85465052,-1.12879718,2.07914942,1.65020796,1.94099723
2.50670584,-1.37925207,-0.93522374,-0.54198126,-0.84877907,-0.99850197,2.05092937,1.68480923,1.93514942
