ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-2.18934599,0.85628598,-0.08554908,0.03072507,0.24780639,-2.58430987,2.47800318,0.76715540,1.75353806
-2.06579640,0.88087052,-0.08549204,0.02169298,0.23825438,-2.72607363,2.45654779,0.84171740,1.76104119
-1.90968573,0.89849287,-0.08891219,0.01113677,0.23482366,-2.91115994,2.42346615,0.94489162,1.77086479
-1.74342809,0.92526052,-0.10455101,0.00492870,0.24673327,-3.09225118,2.38334721,1.05321722,1.78086600
-1.55014158,0.98292674,-0.13315583,0.00735395,0.27101551,-3.27317578,2.33560723,1.16592635,1.79154390
-1.33542607,1.06399257,-0.16264965,0.02263500,0.30056598,-3.45347955,2.27955989,1.28215966,1.80283544
-1.10885118,1.15952540,-0.18183651,0.05433353,0.33258834,-3.62535827,2.21456409,1.40072773,1.81406926
-0.88476599,1.25938511,-0.19191858,0.10494912,0.36345743,-3.77686538,2.14024393,1.51995116,1.82403939
-0.66684033,1.36915300,-0.19700521,0.17416478,0.38496595,-3.89948348,2.05655152,1.63777441,1.83094486
-0.43582026,1.51467138,-0.20138158,0.25814543,0.39391490,-3.99166886,1.96375070,1.75207213,1.83268455
-0.17407208,1.69168121,-0.20430110,0.34898080,0.38406030,-4.05718580,1.86232669,1.86093449,1.82727278
0.12589193,1.86396556,-0.18566974,0.43505221,0.34022989,-4.10452705,1.75269520,1.96289829,1.81295210
0.45664777,1.99389230,-0.13516381,0.50241829,0.26186000,-4.14032125,1.63510660,2.05703300,1.78878295
0.79316127,2.05322412,-0.07612894,0.53888525,0.17048985,-4.16523951,1.50994960,2.14284050,1.75563475
1.11501792,2.04123750,-0.03306641,0.54146345,0.08719730,-4.18292623,1.37788217,2.22016287,1.71617429
1.41196489,1.97594001,-0.00480201,0.51742268,0.01639541,-4.19507268,1.23965137,2.28904892,1.67365805
1.67704279,1.89078429,0.02288763,0.47808018,-0.04807217,-4.18645007,1.09623842,2.34940512,1.63070489
1.92024472,1.82420222,0.05628517,0.43116823,-0.10789630,-4.13619263,0.94927849,2.40083025,1.58904385
2.16745662,1.77509763,0.08792576,0.37712035,-0.16043105,-4.03329306,0.80109235,2.44297054,1.55007803
2.43649451,1.71541243,0.11227917,0.31335880,-0.20034931,-3.87656190,0.65438751,2.47592765,1.51531979
2.72742701,1.61889145,0.13008657,0.23936977,-0.20967664,-3.67127689,0.51200843,2.50039219,1.48641202
3.02363981,1.47044383,0.13632814,0.16004493,-0.16641335,-3.41682293,0.37702161,2.51750408,1.46477204
3.29315016,1.28198416,0.13487129,0.08566095,-0.06588483,-3.10087277,0.25295449,2.52853948,1.45082700
3.50942615,1.07413689,0.14052795,0.02443233,0.07978673,-2.71827952,0.14353355,2.53477794,1.44365512
3.66278149,0.84800740,0.15622381,-0.02280015,0.25751225,-2.28604897,0.05190426,2.53759118,1.44157708
3.74533543,0.60608109,0.17064302,-0.06009875,0.46142074,-1.83116952,-0.01994663,2.53843224,1.44297132
3.75908167,0.38098077,0.17489151,-0.09342358,0.68039064,-1.37419090,-0.07116611,2.53867554,1.44674642
3.71238521,0.19859898,0.17756761,-0.12844458,0.89407224,-0.93427784,-0.10194316,2.53947594,1.45257646
3.59929527,0.04851424,0.18495433,-0.16734405,1.09134908,-0.53576257,-0.11360788,2.54164534,1.46082288
3.41804164,-0.07447711,0.18304044,-0.20691952,1.27297207,-0.19681182,-0.10841156,2.54552667,1.47203361
3.19661473,-0.15808614,0.16370244,-0.23893149,1.43670840,0.07736388,-0.08904617,2.55095864,1.48638804
2.96918413,-0.21071286,0.14235755,-0.25534003,1.57296336,0.28895351,-0.05834876,2.55736721,1.50342526
2.74100368,-0.25082790,0.13469727,-0.25251507,1.67734470,0.44286877,-0.01912399,2.56395945,1.52212313
2.51010614,-0.28457198,0.13656829,-0.23205340,1.75433724,0.54272958,0.02600771,2.56996545,1.54126326
2.28582588,-0.32097481,0.13809344,-0.20103058,1.80734174,0.59072019,0.07460474,2.57484507,1.55989364
2.07766493,-0.36889782,0.13956701,-0.16810732,1.83930328,0.59213995,0.12441920,2.57839703,1.57763419
1.89060266,-0.42685462,0.14214139,-0.13905425,1.85813559,0.55735356,0.17360943,2.58072163,1.59463500
1.71834721,-0.48429139,0.14221732,-0.11481368,1.86837771,0.50088707,0.22092560,2.58206624,1.61125218
1.56205030,-0.52570358,0.14658969,-0.09467794,1.86357818,0.43421223,0.26558558,2.58269584,1.62776012
1.43619921,-0.54309565,0.16097911,-0.07978961,1.84119996,0.36344238,0.30704814,2.58287273,1.64436397
1.32942565,-0.53615188,0.17531149,-0.07074075,1.80845575,0.29488617,0.34506561,2.58284766,1.66129729
1.22178168,-0.52125277,0.18608021,-0.06669879,1.76743726,0.23393481,0.37969603,2.58282732,1.67879719
1.11941605,-0.52183393,0.19888126,-0.06653159,1.71760419,0.18604027,0.41118638,2.58294660,1.69701996
1.02837951,-0.52334629,0.21043581,-0.06901683,1.66186446,0.15600838,0.44002662,2.58323938,1.71599934
0.95024723,-0.50354417,0.21673624,-0.07530845,1.59987117,0.13939784,0.46676875,2.58370701,1.73580283
0.89316070,-0.47717178,0.22114604,-0.08964021,1.52865870,0.12750009,0.49164494,2.58444234,1.75674570
0.85210428,-0.47041392,0.22589770,-0.11587596,1.44750355,0.11876437,0.51463965,2.58564395,1.77946821
0.80983633,-0.49779874,0.22871041,-0.15477888,1.36054152,0.11559948,0.53581228,2.58753887,1.80486996
0.75995718,-0.55540383,0.22322814,-0.20334219,1.27578699,0.11816465,0.55536595,2.59029247,1.83385411
0.72016913,-0.60846013,0.21238385,-0.24299823,1.21555152,0.12242429,0.56929951,2.59281767,1.85762540
