ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.75076948,-0.52787330,0.13731997,-0.92010506,-0.63135399,-0.77099758,0.48941592,0.49123507,-0.59224087
-0.58002843,-0.54768295,0.18729910,-0.95113468,-0.73062813,-0.77195304,0.46034894,0.54459849,-0.58604229
-0.39139981,-0.44827042,0.17445627,-0.96650748,-0.76163923,-0.74703005,0.42013012,0.61609785,-0.57581462
-0.38059219,-0.14335618,-0.03341373,-0.94392907,-0.74827707,-0.69662032,0.38023186,0.68641119,-0.56254362
-0.60332667,0.11352031,-0.13401722,-0.86987922,-0.83969860,-0.62686282,0.33776580,0.75242572,-0.54785884
-0.85267344,0.13905698,-0.00034826,-0.73837648,-0.99162568,-0.52758452,0.28994821,0.81012388,-0.53401504
-0.89628425,0.07283834,0.11347445,-0.57815647,-1.21641774,-0.43593621,0.23527756,0.85642540,-0.52266400
-0.80114756,-0.05019823,0.22909697,-0.42372117,-1.58615323,-0.40786116,0.16836722,0.89084030,-0.51458719
-0.69237538,-0.23139257,0.41298666,-0.29613101,-2.09451369,-0.44120685,0.08237965,0.91476265,-0.50872785
-0.59309344,-0.33939437,0.62673675,-0.19997846,-2.68743590,-0.46873452,-0.02791454,0.93024597,-0.50192628
-0.65537010,-0.24721199,0.82167999,-0.11736859,-3.26444842,-0.40232713,-0.16307884,0.93881649,-0.48964190
-0.94666625,0.01501217,0.93199463,-0.02870557,-3.74837806,-0.21390186,-0.31860932,0.94110449,-0.46735719
-1.25362688,0.23028890,0.95167994,0.06874009,-4.13456339,0.03470993,-0.48809968,0.93766435,-0.43139387
-1.39631771,0.27603382,0.92756994,0.17944181,-4.50290489,0.23844754,-0.66769249,0.92899760,-0.37843595
-1.41831523,0.18562842,0.92628384,0.31934098,-4.92766603,0.33297016,-0.85786554,0.91419065,-0.30453162
-1.46201328,0.03509231,0.95957129,0.49039683,-5.38756613,0.35419625,-1.05981938,0.89129573,-0.20483568
-1.57079428,-0.01981048,0.97774453,0.67857185,-5.81431383,0.39140751,-1.27102671,0.85971101,-0.07467255
-1.70111604,0.07969585,0.95188630,0.86355817,-6.21842941,0.50963242,-1.48588766,0.82170281,0.09018931
-1.83704254,0.23998856,0.93801314,1.01569798,-6.66648625,0.73500623,-1.69909322,0.78291591,0.29539259
-2.01863042,0.44884323,0.95337294,1.11438356,-7.10711874,1.06658159,-1.90477221,0.75179679,0.54673267
-2.29576374,0.79240705,0.87923767,1.17165731,-7.37573448,1.48320939,-2.09295514,0.73729211,0.84304445
-2.59908296,1.31059494,0.64629273,1.23415239,-7.39992369,1.93944631,-2.25140096,0.74577384,1.17253374
-2.86688286,1.85024468,0.34439178,1.35051632,-7.25669436,2.38103087,-2.37148649,0.77936869,1.51807896
-3.10739024,2.12987682,0.10304869,1.53405807,-7.05206147,2.77259336,-2.45028763,0.83715360,1.86392256
-3.28269017,2.02168158,-0.02731348,1.76130480,-6.83660542,3.09213860,-2.48865871,0.91714825,2.19776507
-3.37659770,1.64294675,-0.10751849,1.99016061,-6.59916796,3.32934802,-2.48921816,1.01698466,2.50942855
-3.42643079,1.22302164,-0.21910869,2.18613162,-6.30311099,3.50671164,-2.45544480,1.13410647,2.78913292
-3.49565212,0.94662440,-0.36962446,2.33281667,-5.92661609,3.66765719,-2.39138299,1.26608130,3.02762738
-3.57390888,0.83260082,-0.52158728,2.41071809,-5.42607438,3.82181963,-2.30171143,1.41005730,3.21702871
-3.55538811,0.76372342,-0.70057309,2.39006322,-4.71819287,3.92827781,-2.19263534,1.56112705,3.35044564
-3.38057239,0.67416798,-0.92820687,2.26104777,-3.79860854,3.95414039,-2.07212803,1.71207616,3.42399032
-3.11577188,0.58140528,-1.09314004,2.03983845,-2.76036665,3.90513337,-1.94796980,1.85569229,3.44078066
-2.89353435,0.44798573,-1.14134806,1.74197779,-1.67370380,3.78656049,-1.82600617,1.98657666,3.41061985
-2.77646875,0.20279271,-1.14264869,1.38824304,-0.59604831,3.59739267,-1.71011953,2.10135489,3.34646719
-2.71937144,-0.16826228,-1.09327047,1.01532613,0.35631844,3.35708083,-1.60214749,2.19890534,3.26255987
-2.67124683,-0.60502007,-0.94930399,0.66498157,1.08220000,3.09231639,-1.50200232,2.28026086,3.17297881
-2.63336624,-0.96700597,-0.74486868,0.37442497,1.55839192,2.82276959,-1.40882899,2.34766879,3.08841256
-2.57132679,-1.14333080,-0.51852462,0.16114988,1.78806545,2.57230209,-1.32170295,2.40374176,3.01480839
-2.41319104,-1.14582041,-0.26309765,0.02186195,1.80339664,2.35695663,-1.23963286,2.45097787,2.95480647
-2.17166426,-1.06759506,-0.01737236,-0.04639706,1.67650810,2.17047639,-1.16194455,2.49133032,2.90807022
-1.95601168,-0.99975855,0.15735623,-0.04336792,1.47283674,2.00601376,-1.08842814,2.52610984,2.87114337
-1.83744050,-0.95201558,0.26410939,0.02222812,1.23153071,1.86201626,-1.01892909,2.55622999,2.83882371
-1.79281421,-0.91139893,0.32794170,0.13252427,0.97876505,1.72253386,-0.95345550,2.58225126,2.80598277
-1.79612138,-0.93000690,0.35087351,0.26088283,0.75056189,1.56466405,-0.89266871,2.60430105,2.76869803
-1.83158286,-1.07101251,0.33433296,0.37176629,0.56883809,1.37733505,-0.83780438,2.62225536,2.72531861
-1.85985559,-1.33513758,0.30417357,0.43461739,0.40829595,1.15643767,-0.79035998,2.63601590,2.67753091
-1.85134652,-1.66058247,0.30122607,0.43838511,0.23335599,0.90611200,-0.75192883,2.64568094,2.62984267
-1.80528130,-1.95897750,0.35279830,0.39007359,0.04884678,0.64571879,-0.72367234,2.65166458,2.58741524
-1.75504633,-2.15914661,0.42126965,0.30498361,-0.10114752,0.39018900,-0.70587597,2.65462556,2.55398020
-1.73282827,-2.24724915,0.44931861,0.22809957,-0.18112964,0.20164926,-0.69769548,2.65555540,2.53414562
