ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.01481008,-0.26517098,-0.21255285,0.01359611,0.41006891,-0.47577038,-1.47198515,0.14742562,-0.10734566
0.03508476,-0.33954259,-0.19364174,0.06148595,0.33988162,-0.35965646,-1.46312847,0.13675754,-0.11552104
0.10767796,-0.41471727,-0.15252797,0.12683468,0.23715205,-0.20775342,-1.45372246,0.12214782,-0.12424079
0.18811075,-0.45410629,-0.09930162,0.19342556,0.13750702,-0.06519511,-1.44799437,0.10674650,-0.12966766
0.26922773,-0.46046136,-0.06083925,0.25828814,0.06728183,0.06138209,-1.44540431,0.09023576,-0.13229895
0.35295006,-0.44121863,-0.04844874,0.31728945,0.03236038,0.16904055,-1.44474228,0.07243869,-0.13315325
0.45545291,-0.41329620,-0.03945186,0.36594563,0.02247986,0.25635814,-1.44491167,0.05343865,-0.13312394
0.56986023,-0.38038869,-0.01625629,0.40294196,0.04597509,0.32301761,-1.44491572,0.03349658,-0.13301827
0.66282285,-0.33427196,0.01223154,0.43163137,0.13680568,0.37152841,-1.44291277,0.01279207,-0.13435922
0.71178748,-0.28731615,0.03963599,0.45451559,0.30796532,0.40664522,-1.43602124,-0.00866404,-0.13951434
0.71553477,-0.25610104,0.07393815,0.46986623,0.54531396,0.43661143,-1.42143511,-0.03076264,-0.15068778
0.64917756,-0.24286000,0.10634096,0.47862250,0.89322351,0.46844990,-1.39580782,-0.05320551,-0.17026837
0.46426192,-0.24854514,0.11191151,0.48560930,1.42105276,0.50127117,-1.35319263,-0.07590457,-0.20209694
0.20835863,-0.27832577,0.09817059,0.49158356,2.13798462,0.52788002,-1.28560407,-0.09918648,-0.25017947
-0.04088031,-0.33130587,0.08844564,0.49378395,3.03452327,0.53909565,-1.18447160,-0.12356968,-0.31635866
-0.31242554,-0.40023687,0.08479007,0.48719527,4.07675519,0.53165442,-1.04111601,-0.14944863,-0.39872787
-0.63101227,-0.47816829,0.08806345,0.46687966,5.15243671,0.51301662,-0.84871260,-0.17669794,-0.48973958
-0.88464640,-0.53821023,0.15629466,0.43705046,5.08134467,0.47889444,-0.62514680,-0.20553990,-0.57157241
0.23022383,-0.61644730,0.56224540,0.35672510,3.27638413,0.40453575,-0.43896547,-0.23312062,-0.62277732
2.42257673,-0.78649495,0.70947073,0.22376941,1.99787025,0.36818895,-0.32783852,-0.25348152,-0.64389957
