ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
2.77800602,-0.14442053,-0.91492117,0.33911884,0.95263512,0.56461600,-0.09392531,2.43022117,4.55513215
2.81730300,-0.14346588,-0.88035089,0.39278676,0.87991348,0.67701647,-0.09190144,2.44144363,4.52790634
2.86934642,-0.15282305,-0.83092508,0.46105043,0.76361009,0.83217523,-0.08359746,2.45783713,4.48779849
2.90969515,-0.16202278,-0.77211364,0.52223489,0.62159573,0.99250114,-0.06637673,2.47604761,4.44232328
2.90968633,-0.16217686,-0.71170947,0.57299309,0.46701402,1.15543578,-0.03968048,2.49542785,4.39218225
2.86027178,-0.14147789,-0.66299864,0.61221561,0.31384081,1.31836333,-0.00342571,2.51519100,4.33819953
2.79269130,-0.07841626,-0.62188342,0.64214662,0.16474258,1.47609942,0.04210414,2.53452651,4.28108998
2.72925801,0.02241735,-0.57817311,0.66677899,0.01743183,1.62513709,0.09646639,2.55270310,4.22122659
2.67590309,0.14091099,-0.53666916,0.69180836,-0.12248887,1.76709636,0.15912790,2.56912100,4.15848859
2.63950455,0.26935803,-0.50440187,0.72355299,-0.24083214,1.90761544,0.22946443,2.58330580,4.09223125
2.59743558,0.41596252,-0.47614401,0.76496705,-0.32551073,2.05487322,0.30690913,2.59482239,4.02145285
2.51177835,0.60735646,-0.44919405,0.81321989,-0.36715535,2.21475305,0.39108068,2.60309945,3.94531952
2.37818177,0.84030829,-0.42984843,0.86294152,-0.35917227,2.38549109,0.48159715,2.60732845,3.86370781
2.21268966,1.08257710,-0.41175076,0.91241583,-0.30764878,2.55776607,0.57791662,2.60656059,3.77715233
2.03372477,1.33688192,-0.37764224,0.96189518,-0.22418322,2.71464581,0.67922793,2.59991007,3.68643457
1.87539984,1.59170510,-0.33335391,1.01055741,-0.11758763,2.83875593,0.78420567,2.58672831,3.59251450
1.75055052,1.79555878,-0.29182453,1.05997872,-0.00803362,2.92930020,0.89130311,2.56663714,3.49636720
1.64095497,1.95927900,-0.23841725,1.11383118,0.07734090,2.99971364,0.99947221,2.53938919,3.39835500
1.53109674,2.14506148,-0.16908777,1.17350689,0.13324540,3.05761881,1.10820345,2.50472082,3.29818573
1.39223945,2.34333219,-0.11004382,1.23857980,0.17876892,3.09720462,1.21687193,2.46242736,3.19564981
1.20721599,2.49634032,-0.07326973,1.30786598,0.23366875,3.11501189,1.32447618,2.41248442,3.09111223
0.99088217,2.58933917,-0.04612395,1.37398319,0.30959747,3.12249584,1.43013822,2.35489266,2.98578784
0.75453278,2.64752291,-0.02529350,1.43801059,0.46206769,3.16620166,1.53393836,2.28917905,2.88236298
0.39004747,2.78311552,-0.05385217,1.51647128,0.75547212,3.29419728,1.63787482,2.21354692,2.78583737
-0.07961564,2.96977226,-0.11114609,1.58866531,1.06421987,3.38172169,1.74292680,2.12697020,2.70124271
-0.18191853,2.96696695,-0.06423507,1.60460326,1.09575944,3.31814776,1.84525173,2.03235363,2.62722648
-0.03173118,2.94855242,0.12349076,1.56712310,0.75394183,3.23420644,1.94069120,1.93283100,2.55441179
-0.23846007,3.08824748,0.30769217,1.51650733,0.24753542,3.17066914,2.02812496,1.82880014,2.47293506
-0.52795756,3.07804872,0.34946861,1.47505173,-0.25639207,3.05512860,2.10608456,1.72120987,2.37812250
-0.60189363,2.97186996,0.32130630,1.45372777,-0.75740787,2.91075966,2.17242331,1.61167181,2.26747159
-0.73309070,2.95682598,0.34279978,1.45610216,-1.22799916,2.76364675,2.22578341,1.50067326,2.13886077
-0.96901958,2.84514462,0.37992845,1.47059721,-1.58193535,2.60430956,2.26546302,1.38847378,1.99413187
-1.17998879,2.60614170,0.38664705,1.48139570,-1.76676556,2.43670146,2.29178743,1.27569822,1.84022497
-1.37510042,2.39426986,0.38613734,1.48052466,-1.79430955,2.27487575,2.30644239,1.16293962,1.68608718
-1.58105300,2.21458117,0.41061537,1.46700023,-1.70559718,2.12049416,2.31193159,1.05079435,1.53953067
-1.73231268,2.02414020,0.45263122,1.44260949,-1.54999657,1.97446958,2.31083227,0.93998827,1.40581091
-1.81233576,1.85400212,0.49885233,1.40887713,-1.38039794,1.83843909,2.30522362,0.83117877,1.28715246
-1.89917707,1.71015520,0.55708901,1.36211879,-1.21915971,1.69858406,2.29646276,0.72526926,1.18359706
