ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-2.20878521,-1.79234731,-0.81140361,-0.08162969,-0.41534460,-0.97583501,-0.25634732,2.54669371,4.20001909
-2.23861743,-1.70579983,-0.83068638,-0.08912043,-0.44272935,-0.98279371,-0.27897425,2.54200724,4.20654270
-2.30276527,-1.55057006,-0.85777985,-0.08486208,-0.46729350,-0.96473267,-0.30840362,2.53550853,4.21550400
-2.37434299,-1.34760068,-0.88570165,-0.05734794,-0.47811082,-0.91643967,-0.33612698,2.52918400,4.22349556
-2.39327937,-1.17580118,-0.90499932,-0.00725474,-0.48534135,-0.86275598,-0.36165372,2.52384691,4.22841624
-2.37623575,-1.09665217,-0.91263526,0.06021911,-0.49392585,-0.82537605,-0.38526120,2.52010112,4.22850327
-2.37902146,-1.08074566,-0.91401836,0.13849126,-0.50057397,-0.81145764,-0.40775855,2.51826177,4.22253380
-2.39715800,-1.07400623,-0.91162963,0.22291550,-0.50417890,-0.82319110,-0.43016952,2.51839190,4.20975744
-2.40397231,-1.06813434,-0.90478024,0.31088139,-0.50959872,-0.86720252,-0.45366160,2.52034104,4.18974880
-2.40002017,-1.07904071,-0.89038320,0.40133699,-0.52378893,-0.94852092,-0.47948932,2.52377981,4.16230720
-2.40707659,-1.10186669,-0.86682905,0.49403470,-0.54829751,-1.06345718,-0.50886943,2.52825077,4.12734915
-2.43339873,-1.11386168,-0.83690580,0.58680461,-0.57608971,-1.20166570,-0.54287291,2.53319071,4.08488531
-2.47661550,-1.07785494,-0.80530263,0.67598089,-0.59817028,-1.35030711,-0.58224614,2.53794902,4.03511549
-2.53546932,-0.96981379,-0.77411545,0.75790266,-0.61238821,-1.49928839,-0.62733870,2.54180325,3.97851746
-2.59207065,-0.81880706,-0.74009485,0.82885025,-0.62550651,-1.64658112,-0.67825451,2.54393469,3.91595706
-2.64643615,-0.66051574,-0.70431549,0.88740463,-0.63933138,-1.79073698,-0.73495240,2.54345825,3.84866248
-2.73446447,-0.47546682,-0.67980185,0.93536796,-0.64037783,-1.92365932,-0.79720360,2.53957895,3.77777929
-2.85531853,-0.24579594,-0.67178262,0.97621762,-0.62518864,-2.04535995,-0.86464707,2.53166583,3.70401616
-2.95485139,-0.02529883,-0.66029347,1.01354324,-0.61547140,-2.17361980,-0.93709115,2.51906691,3.62793611
-3.00834649,0.12925766,-0.62724798,1.04959494,-0.62670350,-2.33292254,-1.01488136,2.50084762,3.55033128
-3.03712010,0.22750034,-0.58975346,1.08615104,-0.65101390,-2.53800681,-1.09899218,2.47568164,3.47204176
-3.04737587,0.30977371,-0.57106287,1.12308590,-0.67258309,-2.78110871,-1.19053779,2.44198174,3.39367143
-3.04641430,0.43701154,-0.56608305,1.15863775,-0.68954298,-3.03725797,-1.28990959,2.39822982,3.31579219
-3.05346484,0.66595471,-0.56252702,1.19375395,-0.71692279,-3.28403094,-1.39638009,2.34324256,3.23933383
-3.05100357,0.97569156,-0.55580516,1.23116247,-0.75898100,-3.51070110,-1.50843158,2.27620874,3.16551742
-3.00409342,1.31426445,-0.54670836,1.26947165,-0.79768264,-3.71058732,-1.62420889,2.19664309,3.09535266
-2.90515750,1.67689682,-0.54431745,1.29967876,-0.81336734,-3.87133009,-1.74159707,2.10448192,3.02955977
-2.77834092,2.06055895,-0.55610561,1.31147386,-0.79515203,-3.97539583,-1.85806002,2.00037922,2.96884564
