ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
2.93511453,1.73062473,-0.42300522,0.24736660,1.20194759,-4.43505426,0.05554708,2.03798078,0.43972187
2.99827532,1.67906821,-0.39716188,0.20259346,1.13857171,-4.28410178,-0.01457687,2.02852719,0.42705296
3.08554792,1.62814813,-0.36640740,0.14130588,1.03438494,-4.07322009,-0.10533831,2.01421498,0.41178385
3.14571911,1.59066504,-0.31835015,0.08469107,0.89964964,-3.83172267,-0.19216539,1.99780725,0.39914158
3.18516018,1.57753453,-0.25862754,0.04075796,0.74776555,-3.54590908,-0.27481112,1.97985024,0.38909686
3.24694477,1.56028399,-0.22013938,0.01209798,0.59499334,-3.21991503,-0.35243127,1.96074041,0.38125272
3.30633083,1.46438856,-0.18106594,-0.00140539,0.44012822,-2.86966777,-0.42431253,1.94088373,0.37514916
3.33808031,1.27435122,-0.12625703,-0.00198059,0.28100642,-2.51201389,-0.49033747,1.92067125,0.37042119
3.34213440,1.03118220,-0.07708952,0.00682300,0.11855712,-2.16589879,-0.55088738,1.90045063,0.36686810
3.33204232,0.75345767,-0.02696870,0.02110911,-0.05447134,-1.85317953,-0.60701031,1.88045028,0.36454941
3.33824891,0.43874413,0.03401712,0.03424893,-0.22812083,-1.58571080,-0.66023611,1.86081928,0.36383009
3.37185095,0.14236724,0.06685407,0.03677804,-0.37341327,-1.35928191,-0.71149204,1.84193310,0.36527494
3.42903158,-0.07252680,0.03983508,0.02408367,-0.47813180,-1.16323239,-0.76071466,1.82450675,0.36947453
3.49329705,-0.22023331,-0.00866903,0.00159534,-0.55910450,-0.99201772,-0.80766912,1.80922946,0.37689418
3.56118237,-0.34096450,-0.03088658,-0.02219449,-0.63798279,-0.84277760,-0.85264628,1.79639063,0.38781363
3.63983710,-0.45157231,-0.03047895,-0.04325055,-0.72158016,-0.71027838,-0.89626429,1.78592723,0.40234655
