ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-1.94396999,1.32841827,0.31545673,-0.62524392,0.12205629,-0.56705028,2.69691388,-0.21909576,2.99585654
-1.93162542,1.36022459,0.31375210,-0.68367646,0.15237684,-0.63066406,2.69865094,-0.20047390,2.99662203
-1.92906222,1.37270611,0.30603005,-0.77407812,0.18925939,-0.73546442,2.70096431,-0.17313988,2.99908815
-1.93290948,1.34377460,0.29281084,-0.87915536,0.21961500,-0.87553455,2.70325204,-0.14123392,3.00359499
-1.92625200,1.28487237,0.27895875,-0.99295115,0.24000186,-1.05806818,2.70543314,-0.10326300,3.00996053
-1.89543174,1.20855379,0.26676297,-1.11147084,0.24180987,-1.28639668,2.70732136,-0.05749552,3.01784641
-1.83608685,1.12537268,0.25766436,-1.23380177,0.21714671,-1.55111519,2.70856983,-0.00230630,3.02657593
-1.75458662,1.04964447,0.25105693,-1.36260754,0.17067200,-1.83463950,2.70862044,0.06333616,3.03555854
-1.64226320,1.00210248,0.24213307,-1.50219438,0.11385915,-2.12035601,2.70670523,0.13971378,3.04491947
-1.47236512,1.01525225,0.22825555,-1.65601964,0.05484719,-2.39249449,2.70191247,0.22637183,3.05558849
-1.24026389,1.11013023,0.20881329,-1.82469877,-0.00229235,-2.63788905,2.69328996,0.32212969,3.06911348
-0.98584658,1.25433137,0.18451328,-2.00542982,-0.05598140,-2.84919858,2.67996107,0.42523952,3.08744015
-0.73431888,1.40140816,0.16090427,-2.19302191,-0.10545108,-3.02727807,2.66120776,0.53363222,3.11266873
-0.47042897,1.54979214,0.14241023,-2.37995114,-0.15178513,-3.17757056,2.63649692,0.64517702,3.14683020
-0.17562372,1.71153775,0.12586823,-2.55466806,-0.19733203,-3.30131532,2.60550460,0.75773909,3.19158699
0.15988213,1.87457046,0.10672170,-2.70366611,-0.24467689,-3.39363645,2.56819707,0.86903109,3.24788752
0.51004092,2.02105688,0.08518971,-2.81748165,-0.29598797,-3.45152068,2.52490028,0.97664102,3.31575134
0.83805319,2.15169457,0.06548768,-2.89334187,-0.35052096,-3.47914831,2.47624655,1.07834999,3.39434546
1.14724965,2.28500609,0.04520618,-2.93421603,-0.39826652,-3.48345944,2.42302075,1.17240270,3.48248522
1.44756163,2.42618588,0.00882374,-2.94573178,-0.42366307,-3.47075887,2.36597464,1.25754264,3.57931542
1.73929102,2.55921017,-0.04887998,-2.93367576,-0.41978477,-3.44396362,2.30574460,1.33289283,3.68437252
2.03462361,2.68800306,-0.11573027,-2.90251136,-0.38875225,-3.39661629,2.24299199,1.39767661,3.79710058
2.33574621,2.81991528,-0.18677382,-2.85463326,-0.33712390,-3.31996155,2.17856036,1.45105291,3.91655650
2.62540837,2.93157068,-0.26333706,-2.79278100,-0.27153946,-3.21334466,2.11343161,1.49230199,4.04137268
2.89399930,2.99635401,-0.34538076,-2.72101323,-0.19500214,-3.08314451,2.04853704,1.52107144,4.16996307
3.12703367,3.00357411,-0.43710399,-2.64186677,-0.12000095,-2.93606250,1.98469590,1.53745139,4.30057378
3.26979409,2.94745290,-0.53760830,-2.55465092,-0.06429568,-2.77087251,1.92286041,1.54188913,4.43091362
3.27191621,2.82126686,-0.64641195,-2.45685241,-0.03261021,-2.58027800,1.86426957,1.53502784,4.55830071
3.15499959,2.63387990,-0.76180813,-2.34635832,-0.03146624,-2.36039314,1.81039389,1.51768552,4.68003980
