ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.36887298,-0.34716214,-0.31875269,0.63204452,-0.51055305,-1.22364431,0.70622988,1.09459982,-0.29316104
-0.39977753,-0.39604984,-0.29997201,0.50557746,-0.58644417,-1.43627601,0.67154075,1.07801181,-0.31505589
-0.38881602,-0.55308254,-0.27561277,0.34151726,-0.67318331,-1.66724245,0.62039482,1.06385006,-0.34041147
-0.39131649,-0.75058200,-0.24565647,0.19549302,-0.73123584,-1.76799083,0.56373000,1.05996737,-0.36019276
-0.47126311,-0.76036540,-0.20713815,0.06583418,-0.75742974,-1.70785412,0.50491377,1.06376941,-0.37461379
-0.56009128,-0.55422308,-0.16807815,-0.05580715,-0.79770855,-1.53250475,0.44648759,1.07354356,-0.38381398
-0.56849644,-0.39321104,-0.09785494,-0.16404161,-0.92063250,-1.33836614,0.38730897,1.08841489,-0.38841318
-0.53524041,-0.45101878,-0.01633222,-0.25195394,-1.07552489,-1.20419828,0.32423243,1.10761892,-0.38920888
-0.53334471,-0.66553263,-0.02489532,-0.31528849,-1.15192305,-1.13518182,0.25743614,1.13015262,-0.38632716
-0.54935913,-0.89048055,-0.07536818,-0.36064288,-1.18114487,-1.08368747,0.18922402,1.15480217,-0.37971830
-0.55293782,-0.97210241,-0.04184422,-0.41496797,-1.23272754,-1.01577470,0.12006982,1.18126396,-0.36922067
-0.50387810,-0.85214499,0.02799752,-0.50649656,-1.30371966,-0.94931514,0.04933647,1.21115097,-0.35360610
-0.40781807,-0.67539894,0.06184627,-0.64032050,-1.38425032,-0.92056018,-0.02382159,1.24718699,-0.33065181
-0.36531292,-0.62657404,0.07000065,-0.79772840,-1.46068668,-0.93466988,-0.10017573,1.29137469,-0.29815721
-0.37395431,-0.70953994,0.05785537,-0.95816563,-1.54780690,-0.95938571,-0.18011668,1.34410444,-0.25451137
-0.29547700,-0.76621467,0.07406822,-1.11388212,-1.68840676,-0.96242835,-0.26456560,1.40472766,-0.19831119
-0.04296715,-0.71996731,0.15270738,-1.26488439,-1.92055727,-0.94574994,-0.35548967,1.47228334,-0.12768109
0.32815996,-0.70125633,0.22062397,-1.34079491,-1.79282390,-0.89145083,-0.44870755,1.54421509,-0.04363346
0.52166210,-0.73726642,-0.27513394,-1.16816744,-0.89749768,-0.69479281,-0.52108280,1.61196256,0.03913271
0.09192427,-0.60265859,-1.03029447,-0.65889365,0.12387133,-0.37590367,-0.55030229,1.65989876,0.09454431
-0.50685594,-0.54780186,-0.88680791,0.00558718,0.79113745,-0.20650570,-0.54236745,1.67442783,0.10615377
-0.38005406,-0.91275468,-0.43671017,0.53371347,1.24446372,-0.29606750,-0.51401850,1.65438207,0.07693429
0.05705582,-1.04000256,-0.35034932,0.81998043,1.49853992,-0.45410699,-0.47540582,1.60969218,0.02210170
0.14783848,-0.61059719,-0.21163405,0.91393809,1.58786809,-0.51206518,-0.43227842,1.55261210,-0.04217795
0.22229700,-0.22102634,-0.05044510,0.84787592,1.60111176,-0.44798877,-0.38548052,1.49406815,-0.10440977
0.45785145,-0.32929778,0.05540742,0.65068586,1.49826939,-0.36743943,-0.33647790,1.44370027,-0.15636952
0.55610026,-0.87833399,0.18257722,0.40730380,1.20564823,-0.32696705,-0.29315682,1.40736266,-0.19315872
0.76525513,-1.14427037,0.19366275,0.21791233,0.91763966,-0.22649843,-0.26010352,1.38507092,-0.21560772
1.03806873,-0.94121306,0.03022022,0.13375441,0.88912427,-0.04697030,-0.23006948,1.37205588,-0.22960337
0.96177432,-0.86872979,-0.10268835,0.14927448,0.98457688,0.10049819,-0.19462588,1.36171785,-0.24155296
0.90632864,-0.92187235,-0.10306800,0.23600082,0.97388763,0.18882628,-0.15484639,1.34829414,-0.25535502
0.95661849,-0.80891479,-0.08646896,0.36007980,0.86135110,0.26923110,-0.11598806,1.32800304,-0.27289310
0.76521690,-0.62690063,-0.10922275,0.48609498,0.69931312,0.33531212,-0.08105801,1.29940371,-0.29474266
0.45066858,-0.58013240,-0.09858773,0.60955870,0.43044109,0.27159788,-0.05437999,1.26239176,-0.32059021
0.35860382,-0.87078227,0.04848101,0.73899062,0.08871455,0.00406769,-0.04335705,1.21649281,-0.35020576
0.42456502,-1.21637848,0.18930563,0.84447241,-0.08385329,-0.31429907,-0.04855876,1.16188643,-0.38298632
0.25125194,-0.96445272,0.05692131,0.88896237,-0.08383696,-0.49934840,-0.06077416,1.10131743,-0.41696307
-0.03005701,-0.30742978,-0.13530732,0.86205892,-0.19241461,-0.54756255,-0.07607292,1.03938213,-0.44924277
-0.03822693,0.11349854,-0.11658440,0.78463555,-0.48415259,-0.51058834,-0.09980592,0.98047695,-0.47720210
0.06341434,0.18303414,-0.02704826,0.70494239,-0.83662814,-0.41309770,-0.13624627,0.92662082,-0.49961735
0.09521773,0.07269849,0.02456356,0.66039794,-1.16743804,-0.30686610,-0.18587312,0.87681680,-0.51665191
0.18891843,-0.10914735,0.07148221,0.67372517,-1.48437214,-0.23547391,-0.24819990,0.82792772,-0.52897714
0.32529191,-0.30531199,0.17780848,0.75153530,-1.83764639,-0.18676556,-0.32412147,0.77558021,-0.53689143
0.38496615,-0.40860924,0.28989931,0.85830992,-2.16983289,-0.13967030,-0.41452051,0.71639783,-0.53958755
0.38607475,-0.41650765,0.21766194,0.93498111,-2.34562698,-0.10189884,-0.51580617,0.65059747,-0.53560732
0.36705505,-0.43849874,-0.03188494,0.95140147,-2.32107287,-0.06886297,-0.61975140,0.58172565,-0.52446408
0.33347457,-0.45230336,-0.25851237,0.91786752,-2.21973173,-0.01725076,-0.71946872,0.51401478,-0.50679545
0.35113474,-0.43338471,-0.29986992,0.84773350,-2.18211295,0.04273670,-0.81479819,0.45081281,-0.48242561
0.42536486,-0.45490434,-0.22785343,0.74237895,-2.18755329,0.09155479,-0.90840140,0.39480626,-0.45059349
0.46491865,-0.50176134,-0.20822189,0.64588454,-2.18105421,0.12426328,-0.97797671,0.35717487,-0.42298138
