ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
0.54524950,1.88118010,0.11179198,0.77909853,-0.88819642,3.67452167,1.06486077,1.79120942,0.51030223
0.45133903,1.89215513,0.11798778,0.78210290,-0.86391238,3.73036870,1.11302995,1.71653627,0.45808229
0.31247293,1.90595975,0.10348393,0.78291982,-0.82207767,3.78815163,1.17502673,1.61307809,0.39029217
0.19037010,1.89106817,0.09297024,0.78187962,-0.78182327,3.81568791,1.23298929,1.50433298,0.32556849
0.10924431,1.83452324,0.10595077,0.78371774,-0.75537203,3.81290848,1.28538301,1.39126465,0.26390681
0.05764491,1.78972710,0.11646808,0.78946844,-0.73932048,3.79862741,1.33102017,1.27455219,0.20502738
0.02489073,1.80887939,0.11041651,0.80199822,-0.73629001,3.79667495,1.36956266,1.15427490,0.14876148
-0.01732330,1.85157448,0.13001972,0.82848417,-0.76160807,3.81700958,1.40046928,1.02986551,0.09444928
-0.11984576,1.84912088,0.19672359,0.87049709,-0.79100216,3.84904575,1.42302669,0.90046468,0.04141677
-0.29334900,1.80889111,0.24483606,0.91842279,-0.77686062,3.86463330,1.43762227,0.76586705,-0.00939828
-0.48390958,1.76551269,0.25123749,0.95942643,-0.72861086,3.83805147,1.44524196,0.62714749,-0.05594005
-0.62519677,1.71436232,0.26936459,0.98737958,-0.69303661,3.76792574,1.44588576,0.48627954,-0.09702297
-0.70770072,1.64805743,0.30953413,1.00432121,-0.68970895,3.67310478,1.43863859,0.34520489,-0.13275807
-0.77453038,1.59663239,0.34574873,1.01391546,-0.69988336,3.57299561,1.42301994,0.20529253,-0.16343306
-0.85746267,1.59559903,0.36821659,1.01996136,-0.71170265,3.47533090,1.39934431,0.06743165,-0.18898756
-0.94587131,1.61713039,0.39124795,1.03391437,-0.77345627,3.38176931,1.36711365,-0.06803957,-0.21005208
-1.02792045,1.60085124,0.43432864,1.07077880,-0.94366667,3.30896089,1.32355569,-0.20186595,-0.22863362
-1.12974991,1.56160290,0.49244181,1.13430142,-1.21505073,3.27751008,1.26461798,-0.33576824,-0.24672407
-1.22666075,1.58743182,0.55737530,1.21162950,-1.54301606,3.28498576,1.18691820,-0.47115948,-0.26462891
-1.24097159,1.71872855,0.62402104,1.28096420,-1.86133874,3.31075396,1.08909113,-0.60784451,-0.28060669
-1.16820490,1.89316839,0.66731173,1.32187721,-2.07873222,3.32363485,0.97325443,-0.74365527,-0.29119135
-1.04734202,2.01837802,0.65608270,1.32052253,-2.13535108,3.29410864,0.84534203,-0.87491714,-0.29253852
-0.91657134,2.04270045,0.58874414,1.27054297,-2.02544282,3.21628452,0.71333668,-0.99746617,-0.28245561
-0.81117691,1.98004999,0.49969846,1.17294837,-1.78576085,3.09435951,0.58496269,-1.10765077,-0.26149499
-0.71961498,1.87675441,0.43089650,1.03372341,-1.50026850,2.91589726,0.46579360,-1.20275870,-0.23280745
-0.62844220,1.74781414,0.40121086,0.86047817,-1.26508168,2.67487748,0.35792076,-1.28102244,-0.20119557
-0.60291891,1.60790972,0.39696382,0.66363313,-1.11401023,2.39363757,0.26055460,-1.34164362,-0.17155871
-0.70144414,1.49542530,0.40229169,0.45875233,-1.01450525,2.09957856,0.17245476,-1.38493063,-0.14742509
-0.84579149,1.42889263,0.41632979,0.26177446,-0.93144398,1.80937634,0.09319676,-1.41222195,-0.13055748
-0.92017453,1.41257998,0.43072030,0.08182755,-0.84420214,1.52765979,0.02295066,-1.42545251,-0.12143633
-0.89552362,1.44915616,0.42847217,-0.07892015,-0.73464828,1.24691896,-0.03756956,-1.42667716,-0.11985915
-0.78700923,1.52770977,0.40217144,-0.22311865,-0.59423971,0.95750032,-0.08709316,-1.41774880,-0.12541124
-0.63619651,1.61446912,0.36002806,-0.35650386,-0.43168480,0.65633218,-0.12429002,-1.40009473,-0.13775246
-0.50453778,1.66958963,0.32425379,-0.48590718,-0.26398659,0.34631856,-0.14847449,-1.37455939,-0.15669188
-0.42349824,1.67426737,0.30882677,-0.61784083,-0.09348499,0.03256314,-0.15955816,-1.34133390,-0.18215580
-0.39869638,1.63784444,0.29948221,-0.75677712,0.08410841,-0.28436527,-0.15746074,-1.30003670,-0.21408649
-0.40732797,1.57714933,0.27649191,-0.90411347,0.26026904,-0.60592561,-0.14222946,-1.24986062,-0.25225573
-0.44175534,1.50812287,0.23561393,-1.05576406,0.43759192,-0.92844530,-0.11423211,-1.18981821,-0.29602411
-0.52521988,1.45771109,0.18354180,-1.20409413,0.62861984,-1.24708641,-0.07365562,-1.11909146,-0.34413950
-0.63078290,1.43231092,0.13935956,-1.34248074,0.81354068,-1.55667962,-0.02095485,-1.03715987,-0.39471212
-0.73388661,1.40958794,0.12666787,-1.46493164,0.94246580,-1.84973539,0.04163783,-0.94383708,-0.44538597
-0.86378394,1.37975957,0.14894500,-1.56542823,0.98252187,-2.11691693,0.10971363,-0.83946871,-0.49370028
-1.02061114,1.37803200,0.17510259,-1.64131929,0.94888983,-2.34840068,0.17814439,-0.72501986,-0.53751573
-1.13552521,1.45394863,0.15747649,-1.69603617,0.88861407,-2.54415390,0.24312197,-0.60179649,-0.57521963
-1.13191712,1.59413190,0.08725727,-1.73541602,0.83209872,-2.71935469,0.30279256,-0.47107070,-0.60564419
-0.99725408,1.71638549,0.00518633,-1.76458125,0.79105221,-2.88406433,0.35637401,-0.33394109,-0.62791113
-0.79532912,1.76299880,-0.07454748,-1.78921706,0.79492752,-3.03627618,0.40405393,-0.19126226,-0.64120256
-0.59055474,1.76677131,-0.17784633,-1.81586397,0.86031962,-3.18525374,0.44724882,-0.04349913,-0.64452476
-0.37454537,1.76320397,-0.30006356,-1.84926863,0.96686023,-3.35498567,0.48727936,0.10937743,-0.63676676
-0.19156659,1.74830737,-0.38905219,-1.87840479,1.05932447,-3.50069840,0.51589487,0.22669781,-0.62506494
