ua_x,ua_y,ua_z,rr_x,rr_y,rr_z,g_x,g_y,g_z
-0.50488770,2.84506591,-0.01037475,0.98003937,0.04047932,3.14724476,1.73821840,0.22996309,0.13505266
-0.60132512,2.78922774,0.02275285,0.90303322,0.04231115,3.03928189,1.74196515,0.13187385,0.13276416
-0.71191458,2.71500854,0.05972566,0.80109848,0.04127458,2.89193243,1.74326288,0.00732825,0.13243203
-0.79513995,2.63325436,0.09069232,0.70288406,0.03187055,2.74440316,1.73942637,-0.10775699,0.13529155
-0.85857813,2.56697543,0.12032529,0.61196374,0.01488594,2.59569759,1.73104951,-0.21343337,0.13998933
-0.92205846,2.51317467,0.14793428,0.52885766,-0.00501110,2.44522664,1.71878890,-0.30994283,0.14548635
-1.00393999,2.46425850,0.17580849,0.45142842,-0.02802578,2.30084555,1.70330725,-0.39763441,0.15101091
-1.09965990,2.43010075,0.20796061,0.38028782,-0.05266588,2.16746633,1.68512014,-0.47704350,0.15591738
-1.19289501,2.40498195,0.24283607,0.31802654,-0.07097136,2.04334135,1.66480119,-0.54887630,0.15991360
-1.27520880,2.38435750,0.27517747,0.26376619,-0.07911682,1.92325989,1.64311028,-0.61380782,0.16311146
-1.34650717,2.37001778,0.30206422,0.21580752,-0.07732455,1.80027710,1.62083765,-0.67231586,0.16573831
-1.41186555,2.34233903,0.32976113,0.17395649,-0.06528476,1.66875072,1.59872833,-0.72469319,0.16799840
-1.47787087,2.28181056,0.36230526,0.13556934,-0.04418084,1.52689292,1.57752736,-0.77108418,0.17009242
-1.55659911,2.21437936,0.39358908,0.09758916,-0.01451818,1.37470252,1.55800136,-0.81147458,0.17220331
-1.64929512,2.15812919,0.42137065,0.05841927,0.02177209,1.21177176,1.54088321,-0.84572276,0.17444563
-1.74701952,2.09908711,0.44882996,0.01631292,0.05905519,1.03538826,1.52674248,-0.87357457,0.17674479
-1.84018014,2.02939241,0.47536030,-0.02964964,0.09306890,0.84028001,1.51599960,-0.89461523,0.17883437
-1.91409955,1.95133119,0.49777840,-0.07913486,0.12296389,0.62546521,1.50901089,-0.90831681,0.18039201
-1.96777990,1.87700396,0.51329261,-0.13131732,0.14971472,0.39687992,1.50604561,-0.91420285,0.18114330
-2.00069189,1.82314709,0.52203845,-0.18506144,0.17392401,0.15988458,1.50725561,-0.91193925,0.18091862
-2.00787475,1.78696617,0.52741717,-0.23866425,0.19451384,-0.08281227,1.51265506,-0.90132268,0.17965493
-2.00467540,1.74752105,0.53094596,-0.29180671,0.21005669,-0.32637696,1.52206849,-0.88226368,0.17734334
-2.00184950,1.69724074,0.52970527,-0.34569223,0.22060408,-0.56743489,1.53513621,-0.85470398,0.17397941
